valid_time,latitude,longitude,max_temperature,mean_temperature
2019-01-01,18.8,72.8,299.21042,296.81256
2019-01-01,19.05,72.8,299.89655,296.60733
2019-01-02,18.8,72.8,299.5584,297.16934
2019-01-02,19.05,72.8,300.08356,296.94342
2019-01-03,18.8,72.8,299.0694,297.01758
2019-01-03,19.05,72.8,300.00418,296.75137
2019-01-04,18.8,72.8,299.7059,297.16797
2019-01-04,19.05,72.8,300.35745,296.8257
2019-01-05,18.8,72.8,298.74323,296.97095
2019-01-05,19.05,72.8,299.36612,296.69086
2019-01-06,18.8,72.8,299.62747,296.85806
2019-01-06,19.05,72.8,300.08777,296.61105
2019-01-07,18.8,72.8,299.83395,296.97034
2019-01-07,19.05,72.8,300.07532,296.70926
2019-01-08,18.8,72.8,299.43893,296.8914
2019-01-08,19.05,72.8,299.83624,296.48517
2019-01-09,18.8,72.8,298.70837,296.32425
2019-01-09,19.05,72.8,299.19238,295.99924
2019-01-10,18.8,72.8,299.06665,296.5551
2019-01-10,19.05,72.8,299.84167,296.2936
2019-01-11,18.8,72.8,298.62454,296.6529
2019-01-11,19.05,72.8,299.1494,296.45493
2019-01-12,18.8,72.8,298.26733,296.22058
2019-01-12,19.05,72.8,298.91138,296.05026
2019-01-13,18.8,72.8,299.04346,296.44028
2019-01-13,19.05,72.8,299.54092,296.271
2019-01-14,18.8,72.8,299.5288,296.9788
2019-01-14,19.05,72.8,299.96448,296.80536
2019-01-15,18.8,72.8,300.31775,297.69553
2019-01-15,19.05,72.8,300.98166,297.56424
2019-01-16,18.8,72.8,299.5633,297.46512
2019-01-16,19.05,72.8,300.2845,297.37277
2019-01-17,18.8,72.8,299.4739,297.5464
2019-01-17,19.05,72.8,300.11432,297.40768
2019-01-18,18.8,72.8,299.5122,297.45645
2019-01-18,19.05,72.8,300.25708,297.1932
2019-01-19,18.8,72.8,300.138,297.68295
2019-01-19,19.05,72.8,300.96542,297.6492
2019-01-20,18.8,72.8,300.04578,297.7308
2019-01-20,19.05,72.8,300.61224,297.65625
2019-01-21,18.8,72.8,298.40527,297.1904
2019-01-21,19.05,72.8,298.89096,297.05185
2019-01-22,18.8,72.8,297.25253,296.21896
2019-01-22,19.05,72.8,297.6013,296.12866
2019-01-23,18.8,72.8,297.0853,295.9458
2019-01-23,19.05,72.8,297.3278,295.8226
2019-01-24,18.8,72.8,297.68887,295.71957
2019-01-24,19.05,72.8,298.17914,295.6352
2019-01-25,18.8,72.8,297.51422,295.58646
2019-01-25,19.05,72.8,297.8447,295.43808
2019-01-26,18.8,72.8,297.6321,295.41602
2019-01-26,19.05,72.8,297.9593,295.3085
2019-01-27,18.8,72.8,298.38596,296.32352
2019-01-27,19.05,72.8,298.6176,296.15643
2019-01-28,18.8,72.8,298.311,296.3673
2019-01-28,19.05,72.8,298.55646,296.14093
2019-01-29,18.8,72.8,298.76453,296.3279
2019-01-29,19.05,72.8,298.93695,296.0333
2019-01-30,18.8,72.8,298.72925,296.3345
2019-01-30,19.05,72.8,299.54327,296.0405
2019-01-31,18.8,72.8,297.77112,296.15536
2019-01-31,19.05,72.8,298.2703,295.93973
2019-02-01,18.8,72.8,297.9864,296.1469
2019-02-01,19.05,72.8,298.66342,296.0015
2019-02-02,18.8,72.8,297.45538,295.90042
2019-02-02,19.05,72.8,298.02338,295.8074
2019-02-03,18.8,72.8,298.30286,296.5668
2019-02-03,19.05,72.8,299.11707,296.44626
2019-02-04,18.8,72.8,298.97156,297.22812
2019-02-04,19.05,72.8,299.43854,297.19904
