valid_time,latitude,longitude,max_temperature,mean_temperature
2023-01-01,18.8,72.8,298.20917,296.4976
2023-01-01,19.05,72.8,298.72485,296.25308
2023-01-02,18.8,72.8,299.38324,297.1205
2023-01-02,19.05,72.8,299.8863,296.8266
2023-01-03,18.8,72.8,299.16626,297.13705
2023-01-03,19.05,72.8,299.73416,296.86142
2023-01-04,18.8,72.8,298.72202,297.03622
2023-01-04,19.05,72.8,299.19128,296.79276
2023-01-05,18.8,72.8,299.18402,297.5328
2023-01-05,19.05,72.8,299.53738,297.30252
2023-01-06,18.8,72.8,300.37936,298.33752
2023-01-06,19.05,72.8,300.67838,298.17026
2023-01-07,18.8,72.8,301.17126,298.94296
2023-01-07,19.05,72.8,301.3487,298.7025
2023-01-08,18.8,72.8,301.1502,298.6518
2023-01-08,19.05,72.8,301.38892,298.49182
2023-01-09,18.8,72.8,300.25974,298.00803
2023-01-09,19.05,72.8,300.5177,297.77466
2023-01-10,18.8,72.8,300.2532,297.67563
2023-01-10,19.05,72.8,300.56442,297.46268
2023-01-11,18.8,72.8,299.47455,297.2784
2023-01-11,19.05,72.8,300.1093,297.1993
2023-01-12,18.8,72.8,298.59094,296.59625
2023-01-12,19.05,72.8,298.97427,296.4713
2023-01-13,18.8,72.8,297.34116,296.0715
2023-01-13,19.05,72.8,297.45563,295.92166
2023-01-14,18.8,72.8,297.55093,295.15176
2023-01-14,19.05,72.8,298.03644,295.0226
2023-01-15,18.8,72.8,297.18024,295.06433
2023-01-15,19.05,72.8,297.75415,294.91476
2023-01-16,18.8,72.8,296.79123,295.22382
2023-01-16,19.05,72.8,297.45386,295.0461
2023-01-17,18.8,72.8,297.33752,295.308
2023-01-17,19.05,72.8,297.97992,295.13797
2023-01-18,18.8,72.8,298.13052,295.9132
2023-01-18,19.05,72.8,298.63983,295.70645
2023-01-19,18.8,72.8,298.01843,296.18378
2023-01-19,19.05,72.8,298.76526,296.01852
2023-01-20,18.8,72.8,297.8266,296.3793
2023-01-20,19.05,72.8,298.41193,296.1097
2023-01-21,18.8,72.8,297.88293,296.16873
2023-01-21,19.05,72.8,298.4632,295.97403
2023-01-22,18.8,72.8,297.31516,295.77774
2023-01-22,19.05,72.8,297.8086,295.6068
2023-01-23,18.8,72.8,296.90454,295.2999
2023-01-23,19.05,72.8,297.3694,295.13654
2023-01-24,18.8,72.8,296.4159,294.97736
2023-01-24,19.05,72.8,296.878,294.83133
2023-01-25,18.8,72.8,296.77353,294.9637
2023-01-25,19.05,72.8,297.20645,294.8168
2023-01-26,18.8,72.8,297.05145,295.33395
2023-01-26,19.05,72.8,297.7264,295.3442
2023-01-27,18.8,72.8,299.5443,296.9501
2023-01-27,19.05,72.8,300.29636,296.96353
2023-01-28,18.8,72.8,298.62564,297.0892
2023-01-28,19.05,72.8,298.96866,297.03143
2023-01-29,18.8,72.8,297.54462,296.72913
2023-01-29,19.05,72.8,297.54465,296.6199
2023-01-30,18.8,72.8,297.92087,296.56738
2023-01-30,19.05,72.8,298.4245,296.6141
2023-01-31,18.8,72.8,299.10077,297.4479
2023-01-31,19.05,72.8,299.6388,297.5493
2023-02-01,18.8,72.8,300.6122,298.53162
2023-02-01,19.05,72.8,300.61798,298.44882
2023-02-02,18.8,72.8,301.48535,298.6558
2023-02-02,19.05,72.8,302.10995,298.62985
2023-02-03,18.8,72.8,300.85522,298.1981
2023-02-03,19.05,72.8,301.35663,298.10843
2023-02-04,18.8,72.8,299.6977,297.8219
2023-02-04,19.05,72.8,300.2112,297.73862
2023-02-05,18.8,72.8,299.39325,297.68985
2023-02-05,19.05,72.8,300.15247,297.79547
2023-02-06,18.8,72.8,299.4293,297.61264
2023-02-06,19.05,72.8,300.30994,297.7642
2023-02-07,18.8,72.8,299.7142,297.603
2023-02-07,19.05,72.8,300.36328,297.68918
2023-02-08,18.8,72.8,299.7011,297.73724
2023-02-08,19.05,72.8,300.54947,297.86578
2023-02-09,18.8,72.8,300.13004,298.18365
2023-02-09,19.05,72.8,300.99335,298.3182
2023-02-10,18.8,72.8,299.73065,297.9674
2023-02-10,19.05,72.8,300.6563,298.0222
2023-02-11,18.8,72.8,299.75012,297.80563
2023-02-11,19.05,72.8,300.43393,297.79996
2023-02-12,18.8,72.8,300.46954,298.4498
2023-02-12,19.05,72.8,301.37152,298.55856
2023-02-13,18.8,72.8,300.92694,298.83624
2023-02-13,19.05,72.8,301.52936,298.87296
2023-02-14,18.8,72.8,300.5973,298.34134
2023-02-14,19.05,72.8,301.5953,298.3525
2023-02-15,18.8,72.8,300.70837,298.52875
2023-02-15,19.05,72.8,301.72415,298.53146
2023-02-16,18.8,72.8,301.99292,299.34628
2023-02-16,19.05,72.8,302.932,299.40903
2023-02-17,18.8,72.8,302.21207,299.71835
2023-02-17,19.05,72.8,302.89886,299.71872
2023-02-18,18.8,72.8,302.23328,299.5627
2023-02-18,19.05,72.8,302.9028,299.56924
2023-02-19,18.8,72.8,301.55914,299.22055
2023-02-19,19.05,72.8,302.55,299.33786
2023-02-20,18.8,72.8,300.01184,298.83554
2023-02-20,19.05,72.8,300.55063,298.90808
2023-02-21,18.8,72.8,300.6252,298.72458
2023-02-21,19.05,72.8,301.27197,298.7005
2023-02-22,18.8,72.8,300.0538,298.27597
2023-02-22,19.05,72.8,300.7957,298.23843
2023-02-23,18.8,72.8,300.98047,298.7782
2023-02-23,19.05,72.8,301.77255,298.67624
2023-02-24,18.8,72.8,301.93842,299.69388
2023-02-24,19.05,72.8,302.54736,299.6036
2023-02-25,18.8,72.8,301.4956,299.6613
2023-02-25,19.05,72.8,302.24506,299.58078
2023-02-26,18.8,72.8,302.02838,299.896
2023-02-26,19.05,72.8,302.73425,299.77567
2023-02-27,18.8,72.8,301.98712,299.94345
2023-02-27,19.05,72.8,302.73285,299.9412
2023-02-28,18.8,72.8,300.81726,299.2416
2023-02-28,19.05,72.8,301.68207,299.24332
2023-03-01,18.8,72.8,301.29306,299.2839
2023-03-01,19.05,72.8,301.858,299.2664
2023-03-02,18.8,72.8,301.84555,299.89343
2023-03-02,19.05,72.8,303.07843,300.07565
2023-03-03,18.8,72.8,301.43594,299.99344
2023-03-03,19.05,72.8,302.10678,300.2555
2023-03-04,18.8,72.8,301.65918,299.96423
2023-03-04,19.05,72.8,302.06912,300.03687
2023-03-05,18.8,72.8,302.30536,300.36676
2023-03-05,19.05,72.8,302.83377,300.57663
2023-03-06,18.8,72.8,303.3178,300.67404
2023-03-06,19.05,72.8,304.4919,301.0154
2023-03-07,18.8,72.8,303.80737,301.0706
2023-03-07,19.05,72.8,303.49304,300.7089
2023-03-08,18.8,72.8,302.0652,300.05875
2023-03-08,19.05,72.8,302.59845,299.95612
2023-03-09,18.8,72.8,303.52185,301.16122
2023-03-09,19.05,72.8,303.90262,301.1346
2023-03-10,18.8,72.8,302.8953,300.98853
2023-03-10,19.05,72.8,303.3164,300.9364
2023-03-11,18.8,72.8,304.04193,300.9644
2023-03-11,19.05,72.8,304.67,300.95584
2023-03-12,18.8,72.8,303.1673,301.0193
2023-03-12,19.05,72.8,303.83588,301.12964
2023-03-13,18.8,72.8,302.17917,300.74088
2023-03-13,19.05,72.8,302.67163,300.71396
2023-03-14,18.8,72.8,302.8089,300.78146
2023-03-14,19.05,72.8,303.56155,300.93045
2023-03-15,18.8,72.8,303.12842,300.60056
2023-03-15,19.05,72.8,303.77594,300.87918
2023-03-16,18.8,72.8,300.98203,300.08066
2023-03-16,19.05,72.8,300.98697,299.96918
2023-03-17,18.8,72.8,300.35965,299.52887
2023-03-17,19.05,72.8,300.8829,299.63834
2023-03-18,18.8,72.8,300.87598,299.5408
2023-03-18,19.05,72.8,301.211,299.55188
2023-03-19,18.8,72.8,299.81323,299.0896
2023-03-19,19.05,72.8,300.1731,299.13562
2023-03-20,18.8,72.8,299.97913,299.01218
2023-03-20,19.05,72.8,300.19778,299.05048
2023-03-21,18.8,72.8,299.43597,298.721
2023-03-21,19.05,72.8,299.68323,298.75186
2023-03-22,18.8,72.8,300.51672,299.40356
2023-03-22,19.05,72.8,300.9874,299.51352
2023-03-23,18.8,72.8,300.31055,299.29556
2023-03-23,19.05,72.8,300.6032,299.3647
2023-03-24,18.8,72.8,300.69574,299.52914
2023-03-24,19.05,72.8,301.03824,299.59805
2023-03-25,18.8,72.8,300.29498,299.0195
2023-03-25,19.05,72.8,300.7192,299.13596
2023-03-26,18.8,72.8,300.26483,298.78952
2023-03-26,19.05,72.8,300.67383,298.8035
2023-03-27,18.8,72.8,300.2003,298.94775
2023-03-27,19.05,72.8,300.64685,299.04065
2023-03-28,18.8,72.8,300.47446,299.14975
2023-03-28,19.05,72.8,300.88953,299.3096
2023-03-29,18.8,72.8,300.333,299.28726
2023-03-29,19.05,72.8,300.862,299.42236
2023-03-30,18.8,72.8,300.078,299.1682
2023-03-30,19.05,72.8,300.42905,299.3556
2023-03-31,18.8,72.8,300.10934,299.70215
2023-03-31,19.05,72.8,300.40613,299.82608
2023-04-01,18.8,72.8,300.50787,299.3697
2023-04-01,19.05,72.8,301.08157,299.50894
2023-04-02,18.8,72.8,300.6189,299.56036
2023-04-02,19.05,72.8,301.2155,299.7477
2023-04-03,18.8,72.8,300.2928,299.39676
2023-04-03,19.05,72.8,300.88815,299.60635
2023-04-04,18.8,72.8,300.75418,299.75174
2023-04-04,19.05,72.8,301.41812,300.00766
2023-04-05,18.8,72.8,300.9514,299.92505
2023-04-05,19.05,72.8,301.60715,300.17593
2023-04-06,18.8,72.8,302.16055,300.43442
2023-04-06,19.05,72.8,303.14917,300.77823
2023-04-07,18.8,72.8,303.10492,301.6748
2023-04-07,19.05,72.8,304.04477,302.09256
2023-04-08,18.8,72.8,302.87048,301.97244
2023-04-08,19.05,72.8,303.43396,302.32184
2023-04-09,18.8,72.8,303.37805,301.83884
2023-04-09,19.05,72.8,304.1266,302.16528
2023-04-10,18.8,72.8,303.45218,302.10205
2023-04-10,19.05,72.8,304.057,302.42746
2023-04-11,18.8,72.8,303.78467,302.09976
2023-04-11,19.05,72.8,304.4848,302.41293
2023-04-12,18.8,72.8,303.79327,302.4479
2023-04-12,19.05,72.8,305.0103,302.823
2023-04-13,18.8,72.8,304.3226,302.83752
2023-04-13,19.05,72.8,305.34665,303.2154
2023-04-14,18.8,72.8,303.4512,302.0774
2023-04-14,19.05,72.8,304.46967,302.4525
2023-04-15,18.8,72.8,302.93536,301.57053
2023-04-15,19.05,72.8,303.68292,301.93225
2023-04-16,18.8,72.8,302.4753,301.1189
2023-04-16,19.05,72.8,303.25443,301.31473
2023-04-17,18.8,72.8,302.9723,301.32785
2023-04-17,19.05,72.8,303.97678,301.5821
2023-04-18,18.8,72.8,304.18814,302.5209
2023-04-18,19.05,72.8,305.2652,302.90894
2023-04-19,18.8,72.8,304.22623,303.1317
2023-04-19,19.05,72.8,305.3356,303.60086
2023-04-20,18.8,72.8,303.37283,302.1726
2023-04-20,19.05,72.8,304.52496,302.6476
