valid_time,latitude,longitude,tp,number
2020-01-01,19.05,72.8,1.5893116e-08,0
2020-01-01,18.8,72.8,0.0,0
2020-01-02,19.05,72.8,0.0,0
2020-01-02,18.8,72.8,0.0,0
2020-01-03,19.05,72.8,1.5903646e-08,0
2020-01-03,18.8,72.8,5.1661647e-08,0
2020-01-04,19.05,72.8,0.0,0
2020-01-04,18.8,72.8,0.0,0
2020-01-05,19.05,72.8,0.0,0
2020-01-05,18.8,72.8,0.0,0
2020-01-06,19.05,72.8,0.0,0
2020-01-06,18.8,72.8,0.0,0
2020-01-07,19.05,72.8,0.0,0
2020-01-07,18.8,72.8,0.0,0
2020-01-08,19.05,72.8,5.351147e-06,0
2020-01-08,18.8,72.8,6.2712247e-06,0
2020-01-09,19.05,72.8,0.0,0
2020-01-09,18.8,72.8,3.9724455e-09,0
2020-01-10,19.05,72.8,0.0,0
2020-01-10,18.8,72.8,0.0,0
2020-01-11,19.05,72.8,0.0,0
2020-01-11,18.8,72.8,0.0,0
2020-01-12,19.05,72.8,1.2711787e-07,0
2020-01-12,18.8,72.8,5.5620678e-08,0
2020-01-13,19.05,72.8,2.5461013e-05,0
2020-01-13,18.8,72.8,2.0814674e-05,0
2020-01-14,19.05,72.8,8.85869e-06,0
2020-01-14,18.8,72.8,4.910939e-06,0
2020-01-15,19.05,72.8,0.0,0
2020-01-15,18.8,72.8,0.0,0
2020-01-16,19.05,72.8,1.7998515e-06,0
2020-01-16,18.8,72.8,9.773606e-07,0
2020-01-17,19.05,72.8,0.0,0
2020-01-17,18.8,72.8,0.0,0
2020-01-18,19.05,72.8,0.0,0
2020-01-18,18.8,72.8,0.0,0
2020-01-19,19.05,72.8,0.0,0
2020-01-19,18.8,72.8,0.0,0
2020-01-20,19.05,72.8,0.0,0
2020-01-20,18.8,72.8,0.0,0
2020-01-21,19.05,72.8,0.0,0
2020-01-21,18.8,72.8,0.0,0
2020-01-22,19.05,72.8,0.0,0
2020-01-22,18.8,72.8,0.0,0
2020-01-23,19.05,72.8,0.0,0
2020-01-23,18.8,72.8,0.0,0
2020-01-24,19.05,72.8,0.0,0
2020-01-24,18.8,72.8,0.0,0
2020-01-25,19.05,72.8,0.0,0
2020-01-25,18.8,72.8,0.0,0
2020-01-26,19.05,72.8,0.0,0
2020-01-26,18.8,72.8,0.0,0
2020-01-27,19.05,72.8,0.0,0
2020-01-27,18.8,72.8,0.0,0
2020-01-28,19.05,72.8,1.5412488e-05,0
2020-01-28,18.8,72.8,1.1598443e-05,0
2020-01-29,19.05,72.8,8.3474873e-07,0
2020-01-29,18.8,72.8,2.4633647e-07,0
2020-01-30,19.05,72.8,0.0,0
2020-01-30,18.8,72.8,0.0,0
2020-01-31,19.05,72.8,0.0,0
2020-01-31,18.8,72.8,0.0,0
2020-02-01,19.05,72.8,0.0,0
2020-02-01,18.8,72.8,0.0,0
2020-02-02,19.05,72.8,0.0,0
2020-02-02,18.8,72.8,3.5772246e-08,0
2020-02-03,19.05,72.8,1.5098557e-07,0
2020-02-03,18.8,72.8,3.775467e-07,0
2020-02-04,19.05,72.8,1.35075e-07,0
2020-02-04,18.8,72.8,2.9407727e-07,0
2020-02-05,19.05,72.8,0.0,0
2020-02-05,18.8,72.8,0.0,0
2020-02-06,19.05,72.8,0.0,0
2020-02-06,18.8,72.8,0.0,0
2020-02-07,19.05,72.8,0.0,0
2020-02-07,18.8,72.8,0.0,0
2020-02-08,19.05,72.8,0.0,0
2020-02-08,18.8,72.8,0.0,0
2020-02-09,19.05,72.8,0.0,0
2020-02-09,18.8,72.8,0.0,0
2020-02-10,19.05,72.8,0.0,0
2020-02-10,18.8,72.8,0.0,0
2020-02-11,19.05,72.8,0.0,0
2020-02-11,18.8,72.8,2.2245915e-07,0
2020-02-12,19.05,72.8,0.0,0
2020-02-12,18.8,72.8,0.0,0
2020-02-13,19.05,72.8,0.0,0
2020-02-13,18.8,72.8,0.0,0
2020-02-14,19.05,72.8,0.0,0
2020-02-14,18.8,72.8,0.0,0
2020-02-15,19.05,72.8,0.0,0
2020-02-15,18.8,72.8,0.0,0
2020-02-16,19.05,72.8,0.0,0
2020-02-16,18.8,72.8,0.0,0
2020-02-17,19.05,72.8,0.0,0
2020-02-17,18.8,72.8,0.0,0
2020-02-18,19.05,72.8,0.0,0
2020-02-18,18.8,72.8,0.0,0
2020-02-19,19.05,72.8,0.0,0
2020-02-19,18.8,72.8,0.0,0
2020-02-20,19.05,72.8,0.0,0
2020-02-20,18.8,72.8,0.0,0
2020-02-21,19.05,72.8,0.0,0
2020-02-21,18.8,72.8,0.0,0
2020-02-22,19.05,72.8,0.0,0
2020-02-22,18.8,72.8,0.0,0
2020-02-23,19.05,72.8,0.0,0
2020-02-23,18.8,72.8,0.0,0
2020-02-24,19.05,72.8,0.0,0
2020-02-24,18.8,72.8,0.0,0
2020-02-25,19.05,72.8,0.0,0
2020-02-25,18.8,72.8,0.0,0
2020-02-26,19.05,72.8,0.0,0
2020-02-26,18.8,72.8,0.0,0
2020-02-27,19.05,72.8,0.0,0
2020-02-27,18.8,72.8,0.0,0
2020-02-28,19.05,72.8,0.0,0
2020-02-28,18.8,72.8,0.0,0
2020-02-29,19.05,72.8,0.0,0
2020-02-29,18.8,72.8,0.0,0
2020-03-01,19.05,72.8,0.0,0
2020-03-01,18.8,72.8,0.0,0
2020-03-02,19.05,72.8,9.136645e-08,0
2020-03-02,18.8,72.8,1.588613e-08,0
2020-03-03,19.05,72.8,2.3040026e-07,0
2020-03-03,18.8,72.8,6.7525676e-08,0
2020-03-04,19.05,72.8,9.576805e-07,0
2020-03-04,18.8,72.8,9.378073e-07,0
2020-03-05,19.05,72.8,6.9528966e-07,0
2020-03-05,18.8,72.8,5.284893e-07,0
2020-03-06,19.05,72.8,1.4670049e-05,0
2020-03-06,18.8,72.8,1.26680425e-05,0
2020-03-07,19.05,72.8,1.0881949e-05,0
2020-03-07,18.8,72.8,3.3054819e-06,0
2020-03-08,19.05,72.8,0.0,0
2020-03-08,18.8,72.8,0.0,0
2020-03-09,19.05,72.8,0.0,0
2020-03-09,18.8,72.8,0.0,0
2020-03-10,19.05,72.8,3.8538542e-07,0
2020-03-10,18.8,72.8,1.271331e-07,0
2020-03-11,19.05,72.8,4.39921e-08,0
2020-03-11,18.8,72.8,2.780717e-08,0
2020-03-12,19.05,72.8,3.3853046e-06,0
2020-03-12,18.8,72.8,1.962742e-06,0
2020-03-13,19.05,72.8,0.0,0
2020-03-13,18.8,72.8,0.0,0
2020-03-14,19.05,72.8,0.0,0
2020-03-14,18.8,72.8,0.0,0
2020-03-15,19.05,72.8,0.0,0
2020-03-15,18.8,72.8,0.0,0
2020-03-16,19.05,72.8,0.0,0
2020-03-16,18.8,72.8,0.0,0
2020-03-17,19.05,72.8,0.0,0
2020-03-17,18.8,72.8,0.0,0
2020-03-18,19.05,72.8,0.0,0
2020-03-18,18.8,72.8,0.0,0
2020-03-19,19.05,72.8,0.0,0
2020-03-19,18.8,72.8,0.0,0
2020-03-20,19.05,72.8,3.416941e-07,0
2020-03-20,18.8,72.8,2.7814937e-07,0
2020-03-21,19.05,72.8,0.0,0
2020-03-21,18.8,72.8,0.0,0
2020-03-22,19.05,72.8,0.0,0
2020-03-22,18.8,72.8,0.0,0
2020-03-23,19.05,72.8,0.0,0
2020-03-23,18.8,72.8,0.0,0
2020-03-24,19.05,72.8,2.781447e-08,0
2020-03-24,18.8,72.8,0.0,0
2020-03-25,19.05,72.8,0.0,0
