valid_time,latitude,longitude,tp,number
2020-01-01,19.05,72.8,3.814348e-07,0
2020-01-01,18.8,72.8,0.0,0
2020-01-02,19.05,72.8,0.0,0
2020-01-02,18.8,72.8,0.0,0
2020-01-03,19.05,72.8,3.8135425e-07,0
2020-01-03,18.8,72.8,7.630219e-07,0
2020-01-04,19.05,72.8,0.0,0
2020-01-04,18.8,72.8,0.0,0
2020-01-05,19.05,72.8,0.0,0
2020-01-05,18.8,72.8,0.0,0
2020-01-06,19.05,72.8,0.0,0
2020-01-06,18.8,72.8,0.0,0
2020-01-07,19.05,72.8,0.0,0
2020-01-07,18.8,72.8,0.0,0
2020-01-08,19.05,72.8,2.9747622e-05,0
2020-01-08,18.8,72.8,4.5782203e-05,0
2020-01-09,19.05,72.8,0.0,0
2020-01-09,18.8,72.8,9.533869e-08,0
2020-01-10,19.05,72.8,0.0,0
2020-01-10,18.8,72.8,0.0,0
2020-01-11,19.05,72.8,0.0,0
2020-01-11,18.8,72.8,0.0,0
2020-01-12,19.05,72.8,3.050829e-06,0
2020-01-12,18.8,72.8,1.3348963e-06,0
2020-01-13,19.05,72.8,8.170752e-05,0
2020-01-13,18.8,72.8,7.41992e-05,0
2020-01-14,19.05,72.8,7.62727e-05,0
2020-01-14,18.8,72.8,3.147374e-05,0
2020-01-15,19.05,72.8,0.0,0
2020-01-15,18.8,72.8,0.0,0
2020-01-16,19.05,72.8,3.0515075e-05,0
2020-01-16,18.8,72.8,1.8498919e-05,0
2020-01-17,19.05,72.8,0.0,0
2020-01-17,18.8,72.8,0.0,0
2020-01-18,19.05,72.8,0.0,0
2020-01-18,18.8,72.8,0.0,0
2020-01-19,19.05,72.8,0.0,0
2020-01-19,18.8,72.8,0.0,0
2020-01-20,19.05,72.8,0.0,0
2020-01-20,18.8,72.8,0.0,0
2020-01-21,19.05,72.8,0.0,0
2020-01-21,18.8,72.8,0.0,0
2020-01-22,19.05,72.8,0.0,0
2020-01-22,18.8,72.8,0.0,0
2020-01-23,19.05,72.8,0.0,0
2020-01-23,18.8,72.8,0.0,0
2020-01-24,19.05,72.8,0.0,0
2020-01-24,18.8,72.8,0.0,0
2020-01-25,19.05,72.8,0.0,0
2020-01-25,18.8,72.8,0.0,0
2020-01-26,19.05,72.8,0.0,0
2020-01-26,18.8,72.8,0.0,0
2020-01-27,19.05,72.8,0.0,0
2020-01-27,18.8,72.8,0.0,0
2020-01-28,19.05,72.8,5.739856e-05,0
2020-01-28,18.8,72.8,6.695092e-05,0
2020-01-29,19.05,72.8,7.155152e-06,0
2020-01-29,18.8,72.8,2.6701355e-06,0
2020-01-30,19.05,72.8,0.0,0
2020-01-30,18.8,72.8,0.0,0
2020-01-31,19.05,72.8,0.0,0
2020-01-31,18.8,72.8,0.0,0
2020-02-01,19.05,72.8,0.0,0
2020-02-01,18.8,72.8,0.0,0
2020-02-02,19.05,72.8,0.0,0
2020-02-02,18.8,72.8,2.8617796e-07,0
2020-02-03,19.05,72.8,1.7167158e-06,0
2020-02-03,18.8,72.8,4.006156e-06,0
2020-02-04,19.05,72.8,9.536743e-07,0
2020-02-04,18.8,72.8,1.5260439e-06,0
2020-02-05,19.05,72.8,0.0,0
2020-02-05,18.8,72.8,0.0,0
2020-02-06,19.05,72.8,0.0,0
2020-02-06,18.8,72.8,0.0,0
2020-02-07,19.05,72.8,0.0,0
2020-02-07,18.8,72.8,0.0,0
2020-02-08,19.05,72.8,0.0,0
2020-02-08,18.8,72.8,0.0,0
2020-02-09,19.05,72.8,0.0,0
2020-02-09,18.8,72.8,0.0,0
2020-02-10,19.05,72.8,0.0,0
2020-02-10,18.8,72.8,0.0,0
2020-02-11,19.05,72.8,0.0,0
2020-02-11,18.8,72.8,4.957663e-06,0
2020-02-12,19.05,72.8,0.0,0
2020-02-12,18.8,72.8,0.0,0
2020-02-13,19.05,72.8,0.0,0
2020-02-13,18.8,72.8,0.0,0
2020-02-14,19.05,72.8,0.0,0
2020-02-14,18.8,72.8,0.0,0
2020-02-15,19.05,72.8,0.0,0
2020-02-15,18.8,72.8,0.0,0
2020-02-16,19.05,72.8,0.0,0
2020-02-16,18.8,72.8,0.0,0
2020-02-17,19.05,72.8,0.0,0
2020-02-17,18.8,72.8,0.0,0
2020-02-18,19.05,72.8,0.0,0
2020-02-18,18.8,72.8,0.0,0
2020-02-19,19.05,72.8,0.0,0
2020-02-19,18.8,72.8,0.0,0
2020-02-20,19.05,72.8,0.0,0
2020-02-20,18.8,72.8,0.0,0
2020-02-21,19.05,72.8,0.0,0
2020-02-21,18.8,72.8,0.0,0
2020-02-22,19.05,72.8,0.0,0
2020-02-22,18.8,72.8,0.0,0
2020-02-23,19.05,72.8,0.0,0
2020-02-23,18.8,72.8,0.0,0
2020-02-24,19.05,72.8,0.0,0
2020-02-24,18.8,72.8,0.0,0
2020-02-25,19.05,72.8,0.0,0
2020-02-25,18.8,72.8,0.0,0
2020-02-26,19.05,72.8,0.0,0
2020-02-26,18.8,72.8,0.0,0
2020-02-27,19.05,72.8,0.0,0
2020-02-27,18.8,72.8,0.0,0
2020-02-28,19.05,72.8,0.0,0
2020-02-28,18.8,72.8,0.0,0
2020-02-29,19.05,72.8,0.0,0
