valid_time,latitude,longitude,max_temperature,mean_temperature,max_precipitation,mean_precipitation,mslp
01-01-20,18.8,72.8,297.62848,296.2935,0,0,101397.63
01-01-20,19.05,72.8,297.8888,295.97708,3.81E-07,1.59E-08,101398.53
02-01-20,18.8,72.8,298.0075,296.7277,0,0,101585.71
02-01-20,19.05,72.8,298.3086,296.4684,0,0,101587.625
03-01-20,18.8,72.8,297.79413,296.30576,7.63E-07,5.17E-08,101547.22
03-01-20,19.05,72.8,298.2498,296.25482,3.81E-07,1.59E-08,101549.82
04-01-20,18.8,72.8,298.2703,296.1717,0,0,101365.51
04-01-20,19.05,72.8,298.59045,296.0474,0,0,101371.31
05-01-20,18.8,72.8,300.09167,297.3109,0,0,101268.79
05-01-20,19.05,72.8,300.2049,297.162,0,0,101280.57
06-01-20,18.8,72.8,300.25485,298.3906,0,0,101332.94
06-01-20,19.05,72.8,300.53815,298.17838,0,0,101342.875
07-01-20,18.8,72.8,299.58658,298.29022,0,0,101316.19
07-01-20,19.05,72.8,299.7439,298.1397,0,0,101312.88
08-01-20,18.8,72.8,298.67712,297.56412,4.58E-05,6.27E-06,101326.43
08-01-20,19.05,72.8,298.88174,297.4734,2.97E-05,5.35E-06,101324.34
09-01-20,18.8,72.8,298.68347,296.59152,9.53E-08,3.97E-09,101372.28
09-01-20,19.05,72.8,299.0487,296.5358,0,0,101379.76
10-01-20,18.8,72.8,300.12128,297.60562,0,0,101270.31
10-01-20,19.05,72.8,300.66388,297.44223,0,0,101278.79
11-01-20,18.8,72.8,300.88547,298.57452,0,0,101334.81
11-01-20,19.05,72.8,300.9554,298.42422,0,0,101338.48
12-01-20,18.8,72.8,300.16058,298.41464,1.33E-06,5.56E-08,101342
12-01-20,19.05,72.8,300.6225,298.3857,3.05E-06,1.27E-07,101341.88
13-01-20,18.8,72.8,298.50534,297.6107,7.42E-05,2.08E-05,101248.41
13-01-20,19.05,72.8,298.72433,297.49783,8.17E-05,2.55E-05,101247.48
14-01-20,18.8,72.8,297.92468,296.77512,3.15E-05,4.91E-06,101247.695
14-01-20,19.05,72.8,298.3068,296.7197,7.63E-05,8.86E-06,101251.75
15-01-20,18.8,72.8,296.79724,295.84735,0,0,101320.125
15-01-20,19.05,72.8,297.00128,295.6954,0,0,101322.57
16-01-20,18.8,72.8,295.62106,294.86563,1.85E-05,9.77E-07,101456.32
16-01-20,19.05,72.8,295.7207,294.66626,3.05E-05,1.80E-06,101461.1
17-01-20,18.8,72.8,296.30807,294.12912,0,0,101488.98
17-01-20,19.05,72.8,296.6107,293.90506,0,0,101497.43
18-01-20,18.8,72.8,298.4314,295.45007,0,0,101333.836
18-01-20,19.05,72.8,299.04144,295.29733,0,0,101341.99
19-01-20,18.8,72.8,299.04483,296.79944,0,0,101322.74
19-01-20,19.05,72.8,299.59875,296.6623,0,0,101329.59
20-01-20,18.8,72.8,299.92844,297.6113,0,0,101322.09
20-01-20,19.05,72.8,300.8131,297.5325,0,0,101324.6
21-01-20,18.8,72.8,298.89948,297.4284,0,0,101421.52
21-01-20,19.05,72.8,299.45062,297.23593,0,0,101421.1
22-01-20,18.8,72.8,299.52335,297.8062,0,0,101495.43
22-01-20,19.05,72.8,300.187,297.7371,0,0,101500.84
23-01-20,18.8,72.8,300.7137,298.40186,0,0,101400.15
23-01-20,19.05,72.8,301.50354,298.44797,0,0,101409.68
24-01-20,18.8,72.8,300.66327,298.4845,0,0,101348.53
24-01-20,19.05,72.8,301.18103,298.50333,0,0,101355.24
25-01-20,18.8,72.8,300.2575,298.31876,0,0,101350.97
25-01-20,19.05,72.8,300.6858,298.2739,0,0,101357.85
26-01-20,18.8,72.8,299.40393,297.9387,0,0,101214.53
26-01-20,19.05,72.8,300.1739,297.9112,0,0,101213.43
27-01-20,18.8,72.8,298.7907,297.55142,0,0,101199.1
