valid_time,latitude,longitude,max_temperature,mean_temperature
2013-01-01,18.8,72.8,299.05432,298.09018
2013-01-01,19.05,72.8,299.3642,297.88724
2013-01-02,18.8,72.8,298.8977,297.47516
2013-01-02,19.05,72.8,299.39655,297.32275
2013-01-03,18.8,72.8,298.57944,296.75388
2013-01-03,19.05,72.8,299.05615,296.3904
2013-01-04,18.8,72.8,298.4343,296.3357
2013-01-04,19.05,72.8,298.7774,295.84305
2013-01-05,18.8,72.8,297.8847,295.87662
2013-01-05,19.05,72.8,298.287,295.4759
2013-01-06,18.8,72.8,297.40955,295.43445
2013-01-06,19.05,72.8,297.8161,295.05807
2013-01-07,18.8,72.8,298.1978,295.7511
2013-01-07,19.05,72.8,298.76917,295.44705
2013-01-08,18.8,72.8,298.74796,296.6056
2013-01-08,19.05,72.8,299.54083,296.22195
2013-01-09,18.8,72.8,299.8083,297.26416
2013-01-09,19.05,72.8,300.4559,296.95016
2013-01-10,18.8,72.8,299.5207,297.43356
2013-01-10,19.05,72.8,300.2797,297.11996
2013-01-11,18.8,72.8,301.03986,298.10245
2013-01-11,19.05,72.8,301.16415,297.79172
2013-01-12,18.8,72.8,300.26932,297.8939
2013-01-12,19.05,72.8,300.73334,297.62793
2013-01-13,18.8,72.8,300.1906,297.85342
2013-01-13,19.05,72.8,301.17047,297.71463
2013-01-14,18.8,72.8,300.06335,297.9689
2013-01-14,19.05,72.8,300.72012,297.7538
2013-01-15,18.8,72.8,299.58344,297.4833
2013-01-15,19.05,72.8,300.1543,297.2038
2013-01-16,18.8,72.8,299.16925,297.50723
2013-01-16,19.05,72.8,299.90918,297.2703
2013-01-17,18.8,72.8,298.35748,297.0621
2013-01-17,19.05,72.8,298.67676,296.9247
2013-01-18,18.8,72.8,297.23563,296.11975
2013-01-18,19.05,72.8,297.37344,295.91763
2013-01-19,18.8,72.8,298.10812,295.36044
2013-01-19,19.05,72.8,298.4988,295.0726
2013-01-20,18.8,72.8,299.05307,296.4653
2013-01-20,19.05,72.8,299.56537,296.16232
2013-01-21,18.8,72.8,298.4272,296.4663
2013-01-21,19.05,72.8,298.94617,296.21042
2013-01-22,18.8,72.8,298.69064,296.61798
2013-01-22,19.05,72.8,299.37744,296.41483
2013-01-23,18.8,72.8,297.7742,296.28735
2013-01-23,19.05,72.8,298.3422,296.11157
2013-01-24,18.8,72.8,297.73816,296.01495
2013-01-24,19.05,72.8,298.38574,295.87518
2013-01-25,18.8,72.8,298.15063,296.1899
2013-01-25,19.05,72.8,298.72137,296.02274
2013-01-26,18.8,72.8,298.32556,296.3972
2013-01-26,19.05,72.8,299.01218,296.2582
2013-01-27,18.8,72.8,299.2652,296.93433
2013-01-27,19.05,72.8,299.88477,296.7589
2013-01-28,18.8,72.8,298.80084,296.92276
2013-01-28,19.05,72.8,299.36798,296.75317
2013-01-29,18.8,72.8,298.6581,296.8964
2013-01-29,19.05,72.8,299.22528,296.61954
2013-01-30,18.8,72.8,298.58502,296.6925
2013-01-30,19.05,72.8,299.18378,296.46683
2013-01-31,18.8,72.8,298.7965,296.9616
2013-01-31,19.05,72.8,299.45236,296.91183
2013-02-01,18.8,72.8,299.6894,297.69672
2013-02-01,19.05,72.8,300.23016,297.62296
2013-02-02,18.8,72.8,299.02734,297.7022
2013-02-02,19.05,72.8,299.76123,297.74237
2013-02-03,18.8,72.8,299.2293,297.822
2013-02-03,19.05,72.8,299.9442,297.87576
2013-02-04,18.8,72.8,298.19357,297.21274
2013-02-04,19.05,72.8,298.6895,297.17892
2013-02-05,18.8,72.8,298.05325,296.8669
2013-02-05,19.05,72.8,298.42435,296.90427
2013-02-06,18.8,72.8,297.30594,296.21716
2013-02-06,19.05,72.8,297.58362,296.1127
2013-02-07,18.8,72.8,297.6671,295.93826
2013-02-07,19.05,72.8,298.19647,295.8477
2013-02-08,18.8,72.8,298.17877,296.53134
2013-02-08,19.05,72.8,299.13605,296.57242
2013-02-09,18.8,72.8,300.14346,297.68875
2013-02-09,19.05,72.8,301.18445,297.77103
2013-02-10,18.8,72.8,299.2141,297.76907
2013-02-10,19.05,72.8,299.83722,297.76138
2013-02-11,18.8,72.8,300.04617,298.44547
2013-02-11,19.05,72.8,301.12366,298.54248
2013-02-12,18.8,72.8,301.5864,299.54654
2013-02-12,19.05,72.8,302.47534,299.68216
2013-02-13,18.8,72.8,302.11447,299.85123
2013-02-13,19.05,72.8,302.70557,299.99588
2013-02-14,18.8,72.8,300.4041,299.18802
2013-02-14,19.05,72.8,301.1552,299.39664
2013-02-15,18.8,72.8,299.70532,298.6893
2013-02-15,19.05,72.8,299.91766,298.5544
2013-02-16,18.8,72.8,298.32126,297.53204
2013-02-16,19.05,72.8,298.07135,297.4576
2013-02-17,18.8,72.8,298.01733,296.05862
2013-02-17,19.05,72.8,298.53644,296.0688
2013-02-18,18.8,72.8,300.22528,297.21243
2013-02-18,19.05,72.8,300.82364,297.17325
2013-02-19,18.8,72.8,300.5923,298.05984
2013-02-19,19.05,72.8,301.2694,298.1063
2013-02-20,18.8,72.8,300.67117,298.5436
