valid_time,latitude,longitude,max_temperature,mean_temperature
2011-02-25,19.05,72.8,299.78308,297.62863
2011-02-26,18.8,72.8,300.06738,298.0518
2011-02-26,19.05,72.8,300.84222,298.32202
2011-02-27,18.8,72.8,301.33636,299.04877
2011-02-27,19.05,72.8,302.09717,299.26602
2011-02-28,18.8,72.8,300.73676,299.30264
2011-02-28,19.05,72.8,301.13177,299.44525
2011-03-01,18.8,72.8,301.10266,299.27225
2011-03-01,19.05,72.8,301.79993,299.4775
2011-03-02,18.8,72.8,301.12268,299.61722
2011-03-02,19.05,72.8,302.05457,299.7584
2011-03-03,18.8,72.8,300.54755,299.41318
2011-03-03,19.05,72.8,301.399,299.47763
2011-03-04,18.8,72.8,300.45502,298.90375
2011-03-04,19.05,72.8,300.924,298.944
2011-03-05,18.8,72.8,300.41122,298.7936
2011-03-05,19.05,72.8,301.39594,298.96426
2011-03-06,18.8,72.8,301.829,299.92392
2011-03-06,19.05,72.8,302.91833,300.18573
2011-03-07,18.8,72.8,303.05957,301.1165
2011-03-07,19.05,72.8,304.02838,301.49802
2011-03-08,18.8,72.8,302.34674,300.70303
2011-03-08,19.05,72.8,303.4722,301.0311
2011-03-09,18.8,72.8,300.15234,298.9687
2011-03-09,19.05,72.8,301.02435,299.14615
2011-03-10,18.8,72.8,300.83478,298.63828
2011-03-10,19.05,72.8,301.7074,298.8195
2011-03-11,18.8,72.8,301.43405,298.99173
2011-03-11,19.05,72.8,302.1176,299.17386
2011-03-12,18.8,72.8,302.6735,299.6351
2011-03-12,19.05,72.8,303.7105,299.8915
2011-03-13,18.8,72.8,301.36774,299.4172
2011-03-13,19.05,72.8,302.5601,299.70926
2011-03-14,18.8,72.8,300.37186,299.1436
2011-03-14,19.05,72.8,301.3579,299.5056
2011-03-15,18.8,72.8,303.0631,300.58237
2011-03-15,19.05,72.8,303.95746,300.92154
2011-03-16,18.8,72.8,304.2438,301.38074
2011-03-16,19.05,72.8,305.42044,301.62946
2011-03-17,18.8,72.8,302.3028,300.20398
2011-03-17,19.05,72.8,302.73926,300.4403
2011-03-18,18.8,72.8,301.11328,299.44403
2011-03-18,19.05,72.8,301.7647,299.51578
2011-03-19,18.8,72.8,300.36157,298.83295
2011-03-19,19.05,72.8,301.0515,298.90158
2011-03-20,18.8,72.8,300.3116,299.01517
2011-03-20,19.05,72.8,301.16797,299.08694
2011-03-21,18.8,72.8,299.73285,298.61526
2011-03-21,19.05,72.8,300.19623,298.64767
2011-03-22,18.8,72.8,299.5799,298.5361
2011-03-22,19.05,72.8,300.41068,298.6594
2011-03-23,18.8,72.8,300.6278,298.9249
2011-03-23,19.05,72.8,301.42944,299.0519
2011-03-24,18.8,72.8,300.53906,299.15305
2011-03-24,19.05,72.8,301.46558,299.25427
2011-03-25,18.8,72.8,300.22897,299.10138
2011-03-25,19.05,72.8,301.0849,299.2692
2011-03-26,18.8,72.8,301.41925,299.8507
2011-03-26,19.05,72.8,302.5767,300.11682
2011-03-27,18.8,72.8,302.35486,300.65103
2011-03-27,19.05,72.8,303.47296,301.0969
2011-03-28,18.8,72.8,302.484,300.73154
2011-03-28,19.05,72.8,303.52542,301.09137
2011-03-29,18.8,72.8,301.93988,300.79498
2011-03-29,19.05,72.8,302.63843,301.0167
2011-03-30,18.8,72.8,302.67804,300.9529
2011-03-30,19.05,72.8,303.76944,301.3362
2011-03-31,18.8,72.8,302.3849,300.84402
2011-03-31,19.05,72.8,303.22754,301.05228
2011-04-01,18.8,72.8,300.96606,299.52457
2011-04-01,19.05,72.8,301.6543,299.65982
2011-04-02,18.8,72.8,300.4309,299.0378
2011-04-02,19.05,72.8,301.02045,299.19968
2011-04-03,18.8,72.8,300.2793,299.19962
2011-04-03,19.05,72.8,300.57965,299.3493
2011-04-04,18.8,72.8,300.89398,299.56393
2011-04-04,19.05,72.8,301.3205,299.66122
2011-04-05,18.8,72.8,301.2573,299.92334
2011-04-05,19.05,72.8,301.7888,300.00647
2011-04-06,18.8,72.8,301.32724,300.2247
2011-04-06,19.05,72.8,301.82477,300.43777
2011-04-07,18.8,72.8,301.02496,300.00058
2011-04-07,19.05,72.8,301.33875,300.17453
2011-04-08,18.8,72.8,300.84082,299.8702
2011-04-08,19.05,72.8,301.55542,300.1348
2011-04-09,18.8,72.8,300.64,299.5857
2011-04-09,19.05,72.8,301.17554,299.7967
2011-04-10,18.8,72.8,300.72156,299.56418
2011-04-10,19.05,72.8,301.75845,299.92575
2011-04-11,18.8,72.8,300.58954,299.7472
2011-04-11,19.05,72.8,301.3819,300.10226
2011-04-12,18.8,72.8,302.08417,300.6677
2011-04-12,19.05,72.8,303.37003,301.0413
2011-04-13,18.8,72.8,301.7634,300.7537
2011-04-13,19.05,72.8,302.7478,301.09998
2011-04-14,18.8,72.8,301.4817,300.59262
2011-04-14,19.05,72.8,302.27454,300.97598
2011-04-15,18.8,72.8,301.1297,300.36017
2011-04-15,19.05,72.8,301.55237,300.62473
2011-04-16,18.8,72.8,301.48294,300.46225
2011-04-16,19.05,72.8,301.94135,300.7512
2011-04-17,18.8,72.8,301.66193,300.79462
2011-04-17,19.05,72.8,302.4051,301.10675
2011-04-18,18.8,72.8,302.25696,301.04486
2011-04-18,19.05,72.8,302.94025,301.37924
2011-04-19,18.8,72.8,301.79684,300.84305
2011-04-19,19.05,72.8,302.42377,301.18204
2011-04-20,18.8,72.8,301.54556,300.71872
2011-04-20,19.05,72.8,302.12958,301.0002
2011-04-21,18.8,72.8,301.58905,300.60754
2011-04-21,19.05,72.8,302.11877,300.89487
2011-04-22,18.8,72.8,301.52194,300.56903
2011-04-22,19.05,72.8,301.91565,300.75256
2011-04-23,18.8,72.8,301.55353,300.49994
2011-04-23,19.05,72.8,302.14545,300.7455
2011-04-24,18.8,72.8,301.6481,300.7173
2011-04-24,19.05,72.8,301.9789,300.85696
2011-04-25,18.8,72.8,302.0603,300.98215
2011-04-25,19.05,72.8,302.60205,301.1993
2011-04-26,18.8,72.8,302.72278,301.58597
2011-04-26,19.05,72.8,303.67175,301.87024
2011-04-27,18.8,72.8,302.4909,301.44955
2011-04-27,19.05,72.8,303.38513,301.7381
2011-04-28,18.8,72.8,302.4756,301.33075
2011-04-28,19.05,72.8,303.37408,301.69583
2011-04-29,18.8,72.8,301.82642,301.15555
2011-04-29,19.05,72.8,302.44626,301.47607
2011-04-30,18.8,72.8,302.9608,301.90067
2011-04-30,19.05,72.8,304.1075,302.3069
2011-05-01,18.8,72.8,302.46515,301.557
2011-05-01,19.05,72.8,303.27136,301.90225
2011-05-02,18.8,72.8,301.75876,301.04675
2011-05-02,19.05,72.8,302.39166,301.28387
2011-05-03,18.8,72.8,301.75482,300.98334
2011-05-03,19.05,72.8,302.3435,301.207
2011-05-04,18.8,72.8,302.39862,301.55356
2011-05-04,19.05,72.8,302.79138,301.79813
2011-05-05,18.8,72.8,301.85773,301.10568
2011-05-05,19.05,72.8,302.36554,301.33926
2011-05-06,18.8,72.8,301.40103,300.75092
2011-05-06,19.05,72.8,301.90082,301.00748
2011-05-07,18.8,72.8,301.92136,301.00705
2011-05-07,19.05,72.8,302.2537,301.18784
2011-05-08,18.8,72.8,301.82678,301.1719
2011-05-08,19.05,72.8,302.41376,301.41006
2011-05-09,18.8,72.8,301.64005,300.9472
2011-05-09,19.05,72.8,302.0584,301.16843
2011-05-10,18.8,72.8,301.49103,300.6037
2011-05-10,19.05,72.8,301.9167,300.8418
2011-05-11,18.8,72.8,301.55615,300.7355
2011-05-11,19.05,72.8,302.01572,301.00052
2011-05-12,18.8,72.8,301.50937,300.76526
2011-05-12,19.05,72.8,301.9867,301.04132
2011-05-13,18.8,72.8,301.9208,301.19766
2011-05-13,19.05,72.8,302.38007,301.42648
2011-05-14,18.8,72.8,302.0589,301.2203
2011-05-14,19.05,72.8,302.65283,301.51205
2011-05-15,18.8,72.8,302.33508,301.4446
2011-05-15,19.05,72.8,302.79865,301.6625
2011-05-16,18.8,72.8,303.649,301.75195
2011-05-16,19.05,72.8,303.89355,301.94168
2011-05-17,18.8,72.8,302.6709,301.76718
2011-05-17,19.05,72.8,303.45923,302.00928
2011-05-18,18.8,72.8,302.47733,301.61133
2011-05-18,19.05,72.8,302.89798,301.83887
2011-05-19,18.8,72.8,302.27997,301.4374
2011-05-19,19.05,72.8,302.5841,301.67355
2011-05-20,18.8,72.8,302.771,301.98685
2011-05-20,19.05,72.8,303.09036,302.2329
2011-05-21,18.8,72.8,302.99414,302.4293
2011-05-21,19.05,72.8,303.14117,302.62225
2011-05-22,18.8,72.8,302.6831,301.79544
2011-05-22,19.05,72.8,302.96014,302.01187
2011-05-23,18.8,72.8,302.74957,301.52966
2011-05-23,19.05,72.8,303.13083,301.71783
2011-05-24,18.8,72.8,302.8389,301.94708
2011-05-24,19.05,72.8,303.2807,302.1663
2011-05-25,18.8,72.8,302.7501,301.8712
2011-05-25,19.05,72.8,303.2526,302.10742
2011-05-26,18.8,72.8,302.66702,302.01334
2011-05-26,19.05,72.8,303.067,302.18005
2011-05-27,18.8,72.8,303.04077,302.0517
2011-05-27,19.05,72.8,303.59583,302.2538
2011-05-28,18.8,72.8,303.14957,302.40677
2011-05-28,19.05,72.8,303.7076,302.6509
2011-05-29,18.8,72.8,303.32678,302.59708
2011-05-29,19.05,72.8,303.92468,302.8752
2011-05-30,18.8,72.8,303.21457,302.48193
2011-05-30,19.05,72.8,303.76013,302.80746
2011-05-31,18.8,72.8,303.1391,302.47134
2011-05-31,19.05,72.8,303.52133,302.74637
2011-06-01,18.8,72.8,303.25436,302.06134
2011-06-01,19.05,72.8,303.6689,302.33762
2011-06-02,18.8,72.8,302.32333,301.29453
2011-06-02,19.05,72.8,302.91336,301.5525
