iter	Passed	Remaining
429	1780	2360
430	1784	2356
431	1789	2352
432	1793	2348
433	1798	2345
434	1802	2341
435	1807	2338
436	1812	2335
437	1818	2332
438	1823	2330
439	1828	2327
440	1835	2326
441	1840	2323
442	1846	2321
443	1852	2319
444	1857	2316
445	1862	2314
446	1868	2311
447	1873	2308
448	1879	2306
449	1885	2304
450	1890	2301
451	1894	2297
452	1899	2294
453	1904	2289
454	1908	2285
455	1911	2280
456	1916	2276
457	1919	2271
458	1923	2267
459	1927	2263
460	1932	2259
461	1935	2254
462	1939	2249
463	1943	2244
464	1947	2240
465	1950	2235
466	1954	2230
467	1958	2225
468	1961	2221
469	1965	2216
470	1969	2212
471	1973	2207
472	1976	2202
473	1980	2197
474	1984	2193
475	1987	2188
476	1991	2183
477	1995	2179
478	1999	2174
479	2002	2169
480	2006	2165
481	2010	2160
482	2013	2155
483	2017	2151
484	2021	2146
485	2024	2141
486	2028	2136
487	2031	2131
488	2035	2126
489	2038	2122
490	2042	2117
491	2046	2112
492	2049	2108
493	2053	2103
494	2057	2098
495	2061	2094
496	2064	2089
497	2068	2084
498	2071	2080
499	2076	2076
500	2080	2071
501	2084	2067
502	2087	2063
503	2091	2058
504	2095	2053
505	2099	2049
506	2102	2044
507	2106	2040
508	2110	2035
509	2114	2031
510	2118	2027
511	2122	2022
512	2125	2018
513	2129	2013
514	2133	2009
515	2137	2004
516	2141	2000
517	2145	1996
518	2149	1992
519	2153	1987
520	2157	1983
521	2160	1978
522	2164	1974
523	2168	1970
524	2173	1966
525	2177	1962
526	2183	1959
527	2188	1956
528	2193	1953
529	2198	1949
530	2203	1946
531	2208	1942
532	2212	1938
533	2216	1933
534	2219	1929
535	2223	1924
536	2227	1920
537	2231	1915
538	2234	1911
539	2238	1907
540	2242	1902
541	2246	1897
542	2250	1893
543	2253	1889
544	2257	1884
545	2261	1880
546	2265	1876
547	2273	1875
548	2281	1874
549	2287	1871
550	2295	1870
551	2303	1869
552	2312	1869
553	2320	1868
554	2327	1866
555	2333	1863
556	2340	1861
557	2345	1858
558	2350	1854
559	2355	1850
560	2359	1846
561	2364	1842
562	2368	1838
563	2373	1834
564	2377	1830
565	2381	1826
566	2386	1822
567	2390	1818
568	2394	1813
569	2398	1809
570	2402	1805
571	2407	1801
572	2410	1796
573	2414	1792
574	2418	1787
575	2422	1783
576	2426	1778
577	2429	1773
578	2433	1769
579	2437	1764
580	2440	1760
581	2444	1755
582	2448	1751
583	2451	1746
584	2455	1742
585	2459	1737
586	2463	1733
587	2467	1728
588	2471	1724
589	2475	1720
590	2478	1715
591	2482	1710
592	2486	1706
593	2489	1701
594	2493	1697
595	2497	1692
596	2500	1688
597	2504	1683
598	2508	1679
599	2512	1674
600	2515	1670
601	2519	1665
602	2524	1661
603	2527	1657
604	2531	1652
605	2535	1648
606	2539	1643
607	2542	1639
608	2546	1634
609	2550	1630
610	2554	1626
611	2558	1621
612	2561	1617
613	2565	1612
614	2569	1608
615	2573	1604
616	2577	1599
617	2580	1595
618	2584	1590
619	2587	1586
620	2591	1581
621	2594	1576
622	2598	1572
623	2602	1568
624	2605	1563
625	2609	1559
626	2612	1554
627	2616	1550
628	2620	1545
629	2623	1540
630	2627	1536
631	2630	1531
632	2634	1527
633	2638	1523
634	2642	1518
635	2646	1514
636	2650	1510
637	2653	1505
638	2657	1501
639	2661	1496
640	2665	1492
641	2668	1488
642	2672	1483
643	2676	1479
644	2679	1475
645	2683	1470
646	2687	1466
647	2691	1462
648	2695	1457
649	2699	1453
650	2703	1449
651	2707	1444
652	2710	1440
653	2714	1436
654	2718	1431
655	2722	1427
656	2725	1423
657	2729	1418
658	2733	1414
659	2737	1410
660	2740	1405
661	2744	1401
662	2748	1397
663	2752	1392
664	2756	1388
665	2760	1384
666	2764	1379
667	2767	1375
668	2772	1371
669	2776	1367
670	2781	1363
671	2786	1359
672	2790	1355
673	2794	1351
674	2799	1347
675	2803	1343
676	2807	1339
677	2812	1335
678	2816	1331
679	2820	1327
680	2824	1323
681	2829	1319
682	2833	1315
683	2837	1310
684	2840	1306
685	2845	1302
686	2848	1297
687	2852	1293
688	2856	1289
689	2860	1284
690	2863	1280
691	2867	1276
692	2871	1271
693	2874	1267
694	2878	1263
695	2882	1259
696	2886	1254
697	2890	1250
698	2894	1246
699	2897	1241
700	2901	1237
701	2905	1233
702	2909	1229
703	2912	1224
704	2916	1220
705	2919	1215
706	2924	1211
707	2927	1207
708	2931	1203
709	2935	1199
710	2939	1194
711	2942	1190
712	2946	1186
713	2950	1181
714	2953	1177
715	2957	1173
716	2961	1168
717	2964	1164
718	2968	1159
719	2971	1155
720	2975	1151
721	2979	1147
722	2982	1142
723	2986	1138
724	2990	1134
725	2993	1129
726	2997	1125
727	3000	1121
728	3004	1116
729	3008	1112
730	3012	1108
731	3016	1104
732	3019	1099
733	3023	1095
734	3027	1091
735	3030	1087
736	3034	1082
737	3038	1078
738	3041	1074
739	3045	1069
740	3048	1065
741	3052	1061
742	3056	1057
743	3060	1052
744	3063	1048
745	3067	1044
746	3071	1040
747	3074	1035
748	3078	1031
749	3082	1027
750	3085	1023
751	3090	1019
752	3093	1014
753	3097	1010
754	3101	1006
755	3104	1002
756	3108	997
757	3111	993
758	3115	989
759	3119	985
760	3123	980
761	3126	976
762	3130	972
763	3133	967
764	3137	963
765	3141	959
766	3144	955
767	3148	951
768	3152	947
769	3156	942
770	3160	938
771	3163	934
772	3167	930
773	3171	926
774	3176	922
775	3180	918
776	3185	914
777	3189	910
778	3193	905
779	3197	901
780	3201	897
781	3205	893
782	3209	889
783	3213	885
784	3217	881
785	3221	877
786	3224	872
787	3228	868
788	3232	864
789	3236	860
790	3240	856
791	3243	851
792	3248	847
793	3252	843
794	3255	839
795	3259	835
796	3262	831
797	3266	826
798	3270	822
799	3273	818
800	3276	814
801	3280	809
802	3284	805
803	3287	801
804	3291	797
805	3294	792
806	3297	788
807	3301	784
808	3304	780
809	3308	776
810	3311	771
811	3315	767
812	3319	763
813	3322	759
814	3326	755
815	3329	750
816	3333	746
817	3337	742
818	3341	738
819	3344	734
820	3348	730
821	3352	725
822	3355	721
823	3359	717
824	3363	713
825	3367	709
826	3370	705
827	3374	700
828	3378	696
829	3381	692
830	3385	688
831	3388	684
832	3392	680
833	3395	675
834	3399	671
835	3403	667
836	3406	663
837	3410	659
838	3414	655
839	3417	651
840	3421	646
841	3425	642
842	3428	638
843	3432	634
844	3435	630
845	3439	626
846	3444	622
847	3449	618
848	3453	614
849	3457	610
850	3475	608
851	3482	604
852	3489	601
853	3499	598
854	3508	595
855	3515	591
856	3523	587
857	3530	584
858	3537	580
859	3545	577
860	3553	573
861	3560	570
862	3567	566
863	3574	562
864	3582	559
865	3590	555
866	3599	552
867	3608	548
868	3617	545
869	3626	541
870	3636	538
871	3644	535
872	3654	531
873	3663	528
874	3671	524
875	3680	520
876	3688	517
877	3696	513
878	3703	509
879	3712	506
880	3720	502
881	3729	498
882	3739	495
883	3746	491
884	3752	487
885	3759	483
886	3766	479
887	3775	476
888	3783	472
889	3789	468
890	3797	464
891	3803	460
892	3809	456
893	3816	452
894	3822	448
895	3830	444
896	3835	440
897	3842	436
898	3848	432
899	3855	428
900	3864	424
901	3873	420
902	3880	416
903	3886	412
904	3894	408
905	3901	404
906	3908	400
907	3914	396
908	3921	392
909	3930	388
910	3937	384
911	3944	380
912	3952	376
913	3960	372
914	3966	368
915	3974	364
916	3982	360
917	3989	356
918	3997	352
919	4006	348
920	4013	344
921	4022	340
922	4029	336
923	4037	332
924	4044	327
925	4051	323
926	4058	319
927	4064	315
928	4069	311
929	4075	306
930	4080	302
931	4085	298
932	4090	293
933	4095	289
934	4100	285
935	4105	280
936	4111	276
937	4117	272
938	4122	267
939	4127	263
940	4134	259
941	4140	254
942	4146	250
943	4152	246
944	4159	242
945	4165	237
946	4170	233
947	4176	229
948	4183	224
949	4190	220
950	4196	216
951	4203	211
952	4210	207
953	4218	203
954	4224	199
955	4230	194
956	4235	190
957	4241	185
958	4248	181
959	4254	177
960	4262	172
961	4269	168
962	4277	164
963	4285	160
964	4294	155
965	4300	151
966	4307	146
967	4315	142
968	4325	138
969	4333	134
970	4340	129
971	4348	125
972	4354	120
973	4363	116
974	4371	112
975	4379	107
976	4388	103
977	4395	98
978	4404	94
979	4412	90
980	4420	85
981	4427	81
982	4435	76
983	4443	72
984	4452	67
985	4460	63
986	4469	58
987	4478	54
988	4486	49
989	4493	45
990	4500	40
991	4509	36
992	4516	31
993	4523	27
994	4530	22
995	4538	18
996	4546	13
997	4553	9
998	4561	4
999	4569	0
