valid_time,latitude,longitude,mean_t2m
14-03-24,19.05,72.8,298.2662
14-03-24,18.8,72.8,298.1478
15-03-24,19.05,72.8,298.0158
15-03-24,18.8,72.8,297.8926
16-03-24,19.05,72.8,298.30246
16-03-24,18.8,72.8,298.1648
17-03-24,19.05,72.8,298.55225
17-03-24,18.8,72.8,298.4844
18-03-24,19.05,72.8,298.6008
18-03-24,18.8,72.8,298.5208
19-03-24,19.05,72.8,299.2592
19-03-24,18.8,72.8,299.08072
20-03-24,19.05,72.8,300.99997
20-03-24,18.8,72.8,300.71808
21-03-24,19.05,72.8,301.26297
21-03-24,18.8,72.8,300.99435
22-03-24,19.05,72.8,299.97388
22-03-24,18.8,72.8,299.90372
23-03-24,19.05,72.8,299.57578
23-03-24,18.8,72.8,299.37985
24-03-24,19.05,72.8,299.96127
24-03-24,18.8,72.8,299.69495
25-03-24,19.05,72.8,300.37045
25-03-24,18.8,72.8,300.09515
26-03-24,19.05,72.8,300.2839
26-03-24,18.8,72.8,300.02783
27-03-24,19.05,72.8,300.12836
27-03-24,18.8,72.8,299.84772
28-03-24,19.05,72.8,300.26132
28-03-24,18.8,72.8,300.05508
29-03-24,19.05,72.8,300.78763
29-03-24,18.8,72.8,300.46594
30-03-24,19.05,72.8,301.07333
30-03-24,18.8,72.8,300.73407
31-03-24,19.05,72.8,301.35623
31-03-24,18.8,72.8,301.06888
01-04-24,19.05,72.8,300.935
01-04-24,18.8,72.8,300.6727
02-04-24,19.05,72.8,300.22287
02-04-24,18.8,72.8,300.06802
03-04-24,19.05,72.8,300.20236
03-04-24,18.8,72.8,299.98428
04-04-24,19.05,72.8,300.46506
04-04-24,18.8,72.8,300.20425
05-04-24,19.05,72.8,301.3464
05-04-24,18.8,72.8,300.89993
06-04-24,19.05,72.8,302.2428
06-04-24,18.8,72.8,301.83926
07-04-24,19.05,72.8,301.7698
07-04-24,18.8,72.8,301.48425
08-04-24,19.05,72.8,300.79172
08-04-24,18.8,72.8,300.5735
09-04-24,19.05,72.8,300.5898
09-04-24,18.8,72.8,300.44473
10-04-24,19.05,72.8,300.4357
10-04-24,18.8,72.8,300.25668
11-04-24,19.05,72.8,300.61288
11-04-24,18.8,72.8,300.39316
12-04-24,19.05,72.8,300.34418
12-04-24,18.8,72.8,300.127
13-04-24,19.05,72.8,300.02246
13-04-24,18.8,72.8,299.82553
14-04-24,19.05,72.8,300.45816
14-04-24,18.8,72.8,300.14386
15-04-24,19.05,72.8,302.49747
15-04-24,18.8,72.8,301.9111
16-04-24,19.05,72.8,304.29767
16-04-24,18.8,72.8,303.46198
17-04-24,19.05,72.8,303.02075
17-04-24,18.8,72.8,302.57278
18-04-24,19.05,72.8,302.69742
18-04-24,18.8,72.8,302.33932
19-04-24,19.05,72.8,303.0356
19-04-24,18.8,72.8,302.5765
20-04-24,19.05,72.8,303.3701
20-04-24,18.8,72.8,302.9432
21-04-24,19.05,72.8,302.55185
21-04-24,18.8,72.8,302.23483
22-04-24,19.05,72.8,302.29233
22-04-24,18.8,72.8,301.95132
23-04-24,19.05,72.8,302.07187
23-04-24,18.8,72.8,301.6805
24-04-24,19.05,72.8,301.8023
24-04-24,18.8,72.8,301.48703
25-04-24,19.05,72.8,302.2805
25-04-24,18.8,72.8,301.89673
26-04-24,19.05,72.8,302.55164
26-04-24,18.8,72.8,302.16367
27-04-24,19.05,72.8,302.6848
27-04-24,18.8,72.8,302.18155
28-04-24,19.05,72.8,304.14417
28-04-24,18.8,72.8,303.56454
29-04-24,19.05,72.8,304.0638
29-04-24,18.8,72.8,303.53952
30-04-24,19.05,72.8,303.63858
30-04-24,18.8,72.8,303.12997
01-05-24,19.05,72.8,302.6805
01-05-24,18.8,72.8,302.3444
02-05-24,19.05,72.8,301.8137
02-05-24,18.8,72.8,301.58856
03-05-24,19.05,72.8,301.32852
03-05-24,18.8,72.8,301.0878
04-05-24,19.05,72.8,301.72183
04-05-24,18.8,72.8,301.34424
05-05-24,19.05,72.8,302.54694
05-05-24,18.8,72.8,302.12753
06-05-24,19.05,72.8,302.28873
06-05-24,18.8,72.8,301.9609
07-05-24,19.05,72.8,302.1897
07-05-24,18.8,72.8,302.00095
08-05-24,19.05,72.8,302.07645
08-05-24,18.8,72.8,301.78262
09-05-24,19.05,72.8,302.05737
09-05-24,18.8,72.8,301.78964
10-05-24,19.05,72.8,301.8863
10-05-24,18.8,72.8,301.66354
11-05-24,19.05,72.8,302.21872
11-05-24,18.8,72.8,301.942
12-05-24,19.05,72.8,302.28525
12-05-24,18.8,72.8,302.09344
13-05-24,19.05,72.8,302.6368
13-05-24,18.8,72.8,302.31168
14-05-24,19.05,72.8,303.37366
14-05-24,18.8,72.8,302.87936
15-05-24,19.05,72.8,303.1672
15-05-24,18.8,72.8,302.80478
16-05-24,19.05,72.8,303.45065
16-05-24,18.8,72.8,303.01794
17-05-24,19.05,72.8,303.17688
17-05-24,18.8,72.8,302.9428
18-05-24,19.05,72.8,303.34744
18-05-24,18.8,72.8,303.04855
19-05-24,19.05,72.8,303.64725
19-05-24,18.8,72.8,303.29092
20-05-24,19.05,72.8,303.54276
20-05-24,18.8,72.8,303.18625
21-05-24,19.05,72.8,303.70535
21-05-24,18.8,72.8,303.20737
22-05-24,19.05,72.8,303.53857
22-05-24,18.8,72.8,303.05243
23-05-24,19.05,72.8,303.36227
23-05-24,18.8,72.8,302.9519
24-05-24,19.05,72.8,303.20682
24-05-24,18.8,72.8,302.83008
25-05-24,19.05,72.8,303.20987
25-05-24,18.8,72.8,302.84073
26-05-24,19.05,72.8,303.38828
26-05-24,18.8,72.8,303.02963
27-05-24,19.05,72.8,303.26205
27-05-24,18.8,72.8,302.99307
28-05-24,19.05,72.8,303.3562
28-05-24,18.8,72.8,303.03366
29-05-24,19.05,72.8,303.4999
29-05-24,18.8,72.8,303.27032
30-05-24,19.05,72.8,303.76987
