valid_time,latitude,longitude,max_tp
23-03-24,19.05,72.8,9.53E-07
23-03-24,18.8,72.8,0
24-03-24,19.05,72.8,0
24-03-24,18.8,72.8,0
25-03-24,19.05,72.8,0
25-03-24,18.8,72.8,0
26-03-24,19.05,72.8,0
26-03-24,18.8,72.8,0
27-03-24,19.05,72.8,0
27-03-24,18.8,72.8,0
28-03-24,19.05,72.8,0
28-03-24,18.8,72.8,0
29-03-24,19.05,72.8,0
29-03-24,18.8,72.8,0
30-03-24,19.05,72.8,0
30-03-24,18.8,72.8,0
31-03-24,19.05,72.8,0
31-03-24,18.8,72.8,0
01-04-24,19.05,72.8,0
01-04-24,18.8,72.8,0
02-04-24,19.05,72.8,0
02-04-24,18.8,72.8,0
03-04-24,19.05,72.8,3.82E-07
03-04-24,18.8,72.8,9.53E-08
04-04-24,19.05,72.8,0
04-04-24,18.8,72.8,0
05-04-24,19.05,72.8,0
05-04-24,18.8,72.8,0
06-04-24,19.05,72.8,0
06-04-24,18.8,72.8,0
07-04-24,19.05,72.8,0
07-04-24,18.8,72.8,0
08-04-24,19.05,72.8,0
08-04-24,18.8,72.8,0
09-04-24,19.05,72.8,1.91E-07
09-04-24,18.8,72.8,0
10-04-24,19.05,72.8,4.20E-06
10-04-24,18.8,72.8,4.48E-06
11-04-24,19.05,72.8,0
11-04-24,18.8,72.8,5.72E-07
12-04-24,19.05,72.8,2.29E-06
12-04-24,18.8,72.8,1.34E-06
13-04-24,19.05,72.8,2.29E-06
13-04-24,18.8,72.8,3.43E-06
14-04-24,19.05,72.8,1.53E-06
14-04-24,18.8,72.8,5.72E-07
15-04-24,19.05,72.8,0
15-04-24,18.8,72.8,0
16-04-24,19.05,72.8,1.62E-08
16-04-24,18.8,72.8,7.02E-05
17-04-24,19.05,72.8,0
17-04-24,18.8,72.8,0
18-04-24,19.05,72.8,4.77E-07
18-04-24,18.8,72.8,2.86E-07
19-04-24,19.05,72.8,6.48E-06
19-04-24,18.8,72.8,0
20-04-24,19.05,72.8,7.63E-06
20-04-24,18.8,72.8,4.20E-06
21-04-24,19.05,72.8,0
21-04-24,18.8,72.8,0
22-04-24,19.05,72.8,1.68E-05
22-04-24,18.8,72.8,9.53E-07
23-04-24,19.05,72.8,0
23-04-24,18.8,72.8,0
24-04-24,19.05,72.8,0
24-04-24,18.8,72.8,0
25-04-24,19.05,72.8,0
25-04-24,18.8,72.8,0
26-04-24,19.05,72.8,8.96E-06
26-04-24,18.8,72.8,0
27-04-24,19.05,72.8,0
27-04-24,18.8,72.8,0
28-04-24,19.05,72.8,0
28-04-24,18.8,72.8,0
29-04-24,19.05,72.8,0
29-04-24,18.8,72.8,0
30-04-24,19.05,72.8,0
30-04-24,18.8,72.8,0
01-05-24,19.05,72.8,0
01-05-24,18.8,72.8,0
02-05-24,19.05,72.8,0
02-05-24,18.8,72.8,0
03-05-24,19.05,72.8,0
03-05-24,18.8,72.8,0
04-05-24,19.05,72.8,1.03E-05
04-05-24,18.8,72.8,1.18E-05
05-05-24,19.05,72.8,0
05-05-24,18.8,72.8,9.53E-08
06-05-24,19.05,72.8,6.48E-06
06-05-24,18.8,72.8,8.11E-06
07-05-24,19.05,72.8,2.86E-06
07-05-24,18.8,72.8,5.05E-06
08-05-24,19.05,72.8,5.91E-06
08-05-24,18.8,72.8,3.43E-06
09-05-24,19.05,72.8,1.59E-05
09-05-24,18.8,72.8,1.78E-05
10-05-24,19.05,72.8,2.67E-06
10-05-24,18.8,72.8,3.05E-06
11-05-24,19.05,72.8,1.14E-06
11-05-24,18.8,72.8,5.72E-07
12-05-24,19.05,72.8,0.000103918
12-05-24,18.8,72.8,5.93E-05
13-05-24,19.05,72.8,0.000117419
13-05-24,18.8,72.8,0.000629619
14-05-24,19.05,72.8,0.000178762
14-05-24,18.8,72.8,0.000106398
15-05-24,19.05,72.8,0
15-05-24,18.8,72.8,0
16-05-24,19.05,72.8,1.66E-05
16-05-24,18.8,72.8,8.20E-06
17-05-24,19.05,72.8,0
17-05-24,18.8,72.8,9.92E-06
18-05-24,19.05,72.8,1.11E-05
18-05-24,18.8,72.8,1.36E-05
19-05-24,19.05,72.8,0
19-05-24,18.8,72.8,2.86E-07
20-05-24,19.05,72.8,0
20-05-24,18.8,72.8,0
21-05-24,19.05,72.8,0
21-05-24,18.8,72.8,0
22-05-24,19.05,72.8,6.29E-06
22-05-24,18.8,72.8,1.18E-05
23-05-24,19.05,72.8,1.91E-07
23-05-24,18.8,72.8,1.05E-06
24-05-24,19.05,72.8,6.58E-06
24-05-24,18.8,72.8,9.73E-06
25-05-24,19.05,72.8,0.000112914
25-05-24,18.8,72.8,0.000108523
26-05-24,19.05,72.8,9.17E-05
