valid_time,latitude,longitude,mean_tp
23-03-24,19.05,72.8,5.56E-08
23-03-24,18.8,72.8,0
24-03-24,19.05,72.8,0
24-03-24,18.8,72.8,0
25-03-24,19.05,72.8,0
25-03-24,18.8,72.8,0
26-03-24,19.05,72.8,0
26-03-24,18.8,72.8,0
27-03-24,19.05,72.8,0
27-03-24,18.8,72.8,0
28-03-24,19.05,72.8,0
28-03-24,18.8,72.8,0
29-03-24,19.05,72.8,0
29-03-24,18.8,72.8,0
30-03-24,19.05,72.8,0
30-03-24,18.8,72.8,0
31-03-24,19.05,72.8,0
31-03-24,18.8,72.8,0
01-04-24,19.05,72.8,0
01-04-24,18.8,72.8,0
02-04-24,19.05,72.8,0
02-04-24,18.8,72.8,0
03-04-24,19.05,72.8,1.59E-08
03-04-24,18.8,72.8,3.97E-09
04-04-24,19.05,72.8,0
04-04-24,18.8,72.8,0
05-04-24,19.05,72.8,0
05-04-24,18.8,72.8,0
06-04-24,19.05,72.8,0
06-04-24,18.8,72.8,0
07-04-24,19.05,72.8,0
07-04-24,18.8,72.8,0
08-04-24,19.05,72.8,0
08-04-24,18.8,72.8,0
09-04-24,19.05,72.8,7.94E-09
09-04-24,18.8,72.8,0
10-04-24,19.05,72.8,3.26E-07
10-04-24,18.8,72.8,3.14E-07
11-04-24,19.05,72.8,0
11-04-24,18.8,72.8,3.58E-08
12-04-24,19.05,72.8,1.75E-07
12-04-24,18.8,72.8,9.54E-08
13-04-24,19.05,72.8,1.59E-07
13-04-24,18.8,72.8,2.38E-07
14-04-24,19.05,72.8,1.43E-07
14-04-24,18.8,72.8,4.77E-08
15-04-24,19.05,72.8,0
15-04-24,18.8,72.8,0
16-04-24,19.05,72.8,6.74E-10
16-04-24,18.8,72.8,2.92E-06
17-04-24,19.05,72.8,0
17-04-24,18.8,72.8,0
18-04-24,19.05,72.8,5.16E-08
18-04-24,18.8,72.8,4.77E-08
19-04-24,19.05,72.8,7.59E-07
19-04-24,18.8,72.8,0
20-04-24,19.05,72.8,4.25E-07
20-04-24,18.8,72.8,1.75E-07
21-04-24,19.05,72.8,0
21-04-24,18.8,72.8,0
22-04-24,19.05,72.8,9.53E-07
22-04-24,18.8,72.8,3.97E-08
23-04-24,19.05,72.8,0
23-04-24,18.8,72.8,0
24-04-24,19.05,72.8,0
24-04-24,18.8,72.8,0
25-04-24,19.05,72.8,0
25-04-24,18.8,72.8,0
26-04-24,19.05,72.8,3.77E-07
26-04-24,18.8,72.8,0
27-04-24,19.05,72.8,0
27-04-24,18.8,72.8,0
28-04-24,19.05,72.8,0
28-04-24,18.8,72.8,0
29-04-24,19.05,72.8,0
29-04-24,18.8,72.8,0
30-04-24,19.05,72.8,0
30-04-24,18.8,72.8,0
01-05-24,19.05,72.8,0
01-05-24,18.8,72.8,0
02-05-24,19.05,72.8,0
02-05-24,18.8,72.8,0
03-05-24,19.05,72.8,0
03-05-24,18.8,72.8,0
04-05-24,19.05,72.8,1.04E-06
04-05-24,18.8,72.8,1.17E-06
05-05-24,19.05,72.8,0
05-05-24,18.8,72.8,3.97E-09
06-05-24,19.05,72.8,6.28E-07
06-05-24,18.8,72.8,1.13E-06
07-05-24,19.05,72.8,3.02E-07
07-05-24,18.8,72.8,6.72E-07
08-05-24,19.05,72.8,1.45E-06
08-05-24,18.8,72.8,7.91E-07
09-05-24,19.05,72.8,2.43E-06
09-05-24,18.8,72.8,2.87E-06
10-05-24,19.05,72.8,5.21E-07
10-05-24,18.8,72.8,4.97E-07
11-05-24,19.05,72.8,7.94E-08
11-05-24,18.8,72.8,5.56E-08
12-05-24,19.05,72.8,1.76E-05
12-05-24,18.8,72.8,8.72E-06
13-05-24,19.05,72.8,7.88E-06
13-05-24,18.8,72.8,4.84E-05
14-05-24,19.05,72.8,7.72E-06
14-05-24,18.8,72.8,4.49E-06
15-05-24,19.05,72.8,0
15-05-24,18.8,72.8,0
16-05-24,19.05,72.8,1.86E-06
16-05-24,18.8,72.8,5.84E-07
17-05-24,19.05,72.8,0
17-05-24,18.8,72.8,6.32E-07
18-05-24,19.05,72.8,1.36E-06
18-05-24,18.8,72.8,2.36E-06
19-05-24,19.05,72.8,0
19-05-24,18.8,72.8,2.38E-08
20-05-24,19.05,72.8,0
20-05-24,18.8,72.8,0
21-05-24,19.05,72.8,0
21-05-24,18.8,72.8,0
22-05-24,19.05,72.8,1.34E-06
22-05-24,18.8,72.8,1.75E-06
23-05-24,19.05,72.8,1.59E-08
23-05-24,18.8,72.8,1.51E-07
24-05-24,19.05,72.8,1.10E-06
24-05-24,18.8,72.8,2.01E-06
25-05-24,19.05,72.8,1.99E-05
25-05-24,18.8,72.8,2.29E-05
26-05-24,19.05,72.8,2.52E-05
26-05-24,18.8,72.8,3.37E-05
27-05-24,19.05,72.8,2.22E-05
27-05-24,18.8,72.8,3.72E-05
28-05-24,19.05,72.8,1.69E-05
28-05-24,18.8,72.8,2.46E-05
29-05-24,19.05,72.8,7.18E-06
29-05-24,18.8,72.8,9.41E-06
30-05-24,19.05,72.8,1.59E-05
30-05-24,18.8,72.8,1.78E-05
31-05-24,19.05,72.8,8.50E-05
31-05-24,18.8,72.8,9.50E-05
01-06-24,19.05,72.8,2.01E-05
01-06-24,18.8,72.8,2.38E-05
02-06-24,19.05,72.8,1.86E-05
02-06-24,18.8,72.8,1.65E-05
03-06-24,19.05,72.8,3.72E-05
03-06-24,18.8,72.8,2.95E-05
04-06-24,19.05,72.8,4.16E-05
04-06-24,18.8,72.8,6.94E-05
05-06-24,19.05,72.8,0.000121179
05-06-24,18.8,72.8,0.000115349
06-06-24,19.05,72.8,7.33E-05
06-06-24,18.8,72.8,0.000120393
07-06-24,19.05,72.8,2.75E-05
07-06-24,18.8,72.8,6.22E-05
08-06-24,19.05,72.8,1.95E-05
