valid_time,latitude,longitude,max_temperature,mean_temperature,max_precipitation,mean_precipitation,mslp
01-01-23,18.8,72.8,298.20917,296.4976,0,0,101631.97
01-01-23,19.05,72.8,298.72485,296.25308,0,0,101634.01
02-01-23,18.8,72.8,299.38324,297.1205,0,0,101527.6
02-01-23,19.05,72.8,299.8863,296.8266,0,0,101535.57
03-01-23,18.8,72.8,299.16626,297.13705,0,0,101511.31
03-01-23,19.05,72.8,299.73416,296.86142,0,0,101515.04
04-01-23,18.8,72.8,298.72202,297.03622,0,0,101403.15
04-01-23,19.05,72.8,299.19128,296.79276,0,0,101404.82
05-01-23,18.8,72.8,299.18402,297.5328,0,0,101444.06
05-01-23,19.05,72.8,299.53738,297.30252,0,0,101446.53
06-01-23,18.8,72.8,300.37936,298.33752,0,0,101597.12
06-01-23,19.05,72.8,300.67838,298.17026,0,0,101603.25
07-01-23,18.8,72.8,301.17126,298.94296,0,0,101591.96
07-01-23,19.05,72.8,301.3487,298.7025,0,0,101601.4
08-01-23,18.8,72.8,301.1502,298.6518,0,0,101509.79
08-01-23,19.05,72.8,301.38892,298.49182,0,0,101515.54
09-01-23,18.8,72.8,300.25974,298.00803,0,0,101603.03
09-01-23,19.05,72.8,300.5177,297.77466,0,0,101610.04
10-01-23,18.8,72.8,300.2532,297.67563,0,0,101549.34
10-01-23,19.05,72.8,300.56442,297.46268,0,0,101557.84
11-01-23,18.8,72.8,299.47455,297.2784,0,0,101376.625
11-01-23,19.05,72.8,300.1093,297.1993,0,0,101378.91
12-01-23,18.8,72.8,298.59094,296.59625,0,0,101314.44
12-01-23,19.05,72.8,298.97427,296.4713,0,0,101316.53
13-01-23,18.8,72.8,297.34116,296.0715,1.72E-05,2.29E-06,101416.53
13-01-23,19.05,72.8,297.45563,295.92166,1.14E-06,7.95E-08,101420.34
14-01-23,18.8,72.8,297.55093,295.15176,0,0,101405.54
14-01-23,19.05,72.8,298.03644,295.0226,0,0,101411.21
15-01-23,18.8,72.8,297.18024,295.06433,0,0,101240
15-01-23,19.05,72.8,297.75415,294.91476,0,0,101241.445
16-01-23,18.8,72.8,296.79123,295.22382,0,0,101246.125
16-01-23,19.05,72.8,297.45386,295.0461,0,0,101246.03
17-01-23,18.8,72.8,297.33752,295.308,0,0,101304.414
17-01-23,19.05,72.8,297.97992,295.13797,0,0,101305.18
18-01-23,18.8,72.8,298.13052,295.9132,0,0,101374.93
18-01-23,19.05,72.8,298.63983,295.70645,0,0,101376.43
19-01-23,18.8,72.8,298.01843,296.18378,0,0,101377.84
19-01-23,19.05,72.8,298.76526,296.01852,1.91E-07,1.59E-08,101376.51
20-01-23,18.8,72.8,297.8266,296.3793,9.53E-08,3.97E-09,101365.875
20-01-23,19.05,72.8,298.41193,296.1097,3.81E-07,1.99E-08,101366.75
21-01-23,18.8,72.8,297.88293,296.16873,0,0,101398.65
21-01-23,19.05,72.8,298.4632,295.97403,0,0,101399.65
22-01-23,18.8,72.8,297.31516,295.77774,0,0,101335.32
22-01-23,19.05,72.8,297.8086,295.6068,0,0,101339.13
23-01-23,18.8,72.8,296.90454,295.2999,0,0,101278.78
23-01-23,19.05,72.8,297.3694,295.13654,0,0,101281.16
24-01-23,18.8,72.8,296.4159,294.97736,0,0,101307.63
24-01-23,19.05,72.8,296.878,294.83133,0,0,101309.41
25-01-23,18.8,72.8,296.77353,294.9637,0,0,101303.49
25-01-23,19.05,72.8,297.20645,294.8168,0,0,101309.875
26-01-23,18.8,72.8,297.05145,295.33395,0,0,101247.49
26-01-23,19.05,72.8,297.7264,295.3442,0,0,101252.93
27-01-23,18.8,72.8,299.5443,296.9501,0,0,101142.31
27-01-23,19.05,72.8,300.29636,296.96353,0,0,101146.47
28-01-23,18.8,72.8,298.62564,297.0892,0,0,101060.695
28-01-23,19.05,72.8,298.96866,297.03143,0,0,101055.81
29-01-23,18.8,72.8,297.54462,296.72913,6.87E-05,2.46E-05,101023.37
29-01-23,19.05,72.8,297.54465,296.6199,0.000146558,3.33E-05,101021.31
