valid_time,latitude,longitude,t2m,number
2012-01-01,19.05,72.8,296.96805,0
2012-01-01,18.8,72.8,297.08255,0
2012-01-02,19.05,72.8,296.2494,0
2012-01-02,18.8,72.8,296.42886,0
2012-01-03,19.05,72.8,296.69504,0
2012-01-03,18.8,72.8,296.9651,0
2012-01-04,19.05,72.8,296.2083,0
2012-01-04,18.8,72.8,296.4855,0
2012-01-05,19.05,72.8,296.83798,0
2012-01-05,18.8,72.8,296.9696,0
2012-01-06,19.05,72.8,296.91772,0
2012-01-06,18.8,72.8,297.12463,0
2012-01-07,19.05,72.8,296.2338,0
2012-01-07,18.8,72.8,296.38754,0
2012-01-08,19.05,72.8,296.09756,0
2012-01-08,18.8,72.8,296.3217,0
2012-01-09,19.05,72.8,295.19662,0
2012-01-09,18.8,72.8,295.44614,0
2012-01-10,19.05,72.8,295.53558,0
2012-01-10,18.8,72.8,295.806,0
2012-01-11,19.05,72.8,296.03287,0
2012-01-11,18.8,72.8,296.38028,0
2012-01-12,19.05,72.8,296.1886,0
2012-01-12,18.8,72.8,296.61118,0
2012-01-13,19.05,72.8,296.43207,0
2012-01-13,18.8,72.8,296.75735,0
2012-01-14,19.05,72.8,296.58844,0
2012-01-14,18.8,72.8,296.8677,0
2012-01-15,19.05,72.8,296.33914,0
2012-01-15,18.8,72.8,296.52048,0
2012-01-16,19.05,72.8,295.94366,0
2012-01-16,18.8,72.8,296.13898,0
2012-01-17,19.05,72.8,295.4179,0
2012-01-17,18.8,72.8,295.59232,0
2012-01-18,19.05,72.8,295.071,0
2012-01-18,18.8,72.8,295.18637,0
2012-01-19,19.05,72.8,294.4996,0
2012-01-19,18.8,72.8,294.69266,0
2012-01-20,19.05,72.8,294.7888,0
2012-01-20,18.8,72.8,294.9388,0
2012-01-21,19.05,72.8,295.5007,0
2012-01-21,18.8,72.8,295.75107,0
2012-01-22,19.05,72.8,295.69363,0
2012-01-22,18.8,72.8,295.96136,0
2012-01-23,19.05,72.8,295.64215,0
2012-01-23,18.8,72.8,295.71414,0
2012-01-24,19.05,72.8,296.53513,0
2012-01-24,18.8,72.8,296.62552,0
2012-01-25,19.05,72.8,296.3204,0
2012-01-25,18.8,72.8,296.40784,0
2012-01-26,19.05,72.8,296.07132,0
2012-01-26,18.8,72.8,296.11838,0
2012-01-27,19.05,72.8,296.0422,0
2012-01-27,18.8,72.8,296.09195,0
2012-01-28,19.05,72.8,295.7184,0
2012-01-28,18.8,72.8,295.86935,0
2012-01-29,19.05,72.8,294.83975,0
2012-01-29,18.8,72.8,295.02347,0
2012-01-30,19.05,72.8,295.32297,0
2012-01-30,18.8,72.8,295.32446,0
2012-01-31,19.05,72.8,296.6924,0
2012-01-31,18.8,72.8,296.63907,0
2012-02-01,19.05,72.8,297.56778,0
2012-02-01,18.8,72.8,297.43063,0
2012-02-02,19.05,72.8,297.90985,0
2012-02-02,18.8,72.8,297.8414,0
2012-02-03,19.05,72.8,297.9169,0
2012-02-03,18.8,72.8,297.8645,0
2012-02-04,19.05,72.8,297.564,0
2012-02-04,18.8,72.8,297.48605,0
2012-02-05,19.05,72.8,297.18118,0
2012-02-05,18.8,72.8,297.2025,0
2012-02-06,19.05,72.8,296.86722,0
2012-02-06,18.8,72.8,296.88608,0
2012-02-07,19.05,72.8,296.26437,0
2012-02-07,18.8,72.8,296.39145,0
2012-02-08,19.05,72.8,294.47018,0
2012-02-08,18.8,72.8,294.76672,0
2012-02-09,19.05,72.8,294.2151,0
2012-02-09,18.8,72.8,294.3659,0
2012-02-10,19.05,72.8,295.27698,0
2012-02-10,18.8,72.8,295.35342,0
2012-02-11,19.05,72.8,295.99667,0
2012-02-11,18.8,72.8,296.06503,0
2012-02-12,19.05,72.8,295.5099,0
2012-02-12,18.8,72.8,295.42075,0
2012-02-13,19.05,72.8,295.4476,0
2012-02-13,18.8,72.8,295.45865,0
2012-02-14,19.05,72.8,296.0187,0
2012-02-14,18.8,72.8,295.8486,0
2012-02-15,19.05,72.8,296.31778,0
2012-02-15,18.8,72.8,296.25253,0
2012-02-16,19.05,72.8,295.72516,0
2012-02-16,18.8,72.8,295.759,0
2012-02-17,19.05,72.8,295.94205,0
2012-02-17,18.8,72.8,295.95407,0
2012-02-18,19.05,72.8,297.23965,0
2012-02-18,18.8,72.8,297.1055,0
2012-02-19,19.05,72.8,298.2245,0
2012-02-19,18.8,72.8,297.97244,0
2012-02-20,19.05,72.8,298.59344,0
2012-02-20,18.8,72.8,298.2848,0
2012-02-21,19.05,72.8,298.72018,0
2012-02-21,18.8,72.8,298.40222,0
2012-02-22,19.05,72.8,298.75272,0
2012-02-22,18.8,72.8,298.45218,0
2012-02-23,19.05,72.8,298.46085,0
2012-02-23,18.8,72.8,298.1949,0
2012-02-24,19.05,72.8,298.04666,0
2012-02-24,18.8,72.8,297.85104,0
2012-02-25,19.05,72.8,298.3096,0
2012-02-25,18.8,72.8,298.15402,0
2012-02-26,19.05,72.8,298.50653,0
2012-02-26,18.8,72.8,298.3265,0
2012-02-27,19.05,72.8,298.71112,0
2012-02-27,18.8,72.8,298.49112,0
2012-02-28,19.05,72.8,297.2961,0
2012-02-28,18.8,72.8,297.26376,0
2012-02-29,19.05,72.8,296.46548,0
2012-02-29,18.8,72.8,296.48038,0
2012-03-01,19.05,72.8,295.75253,0
2012-03-01,18.8,72.8,295.8087,0
2012-03-02,19.05,72.8,295.67728,0
2012-03-02,18.8,72.8,295.53812,0
2012-03-03,19.05,72.8,296.40103,0
2012-03-03,18.8,72.8,296.12155,0
2012-03-04,19.05,72.8,297.35974,0
2012-03-04,18.8,72.8,297.02893,0
2012-03-05,19.05,72.8,298.7034,0
2012-03-05,18.8,72.8,298.3465,0
2012-03-06,19.05,72.8,297.40897,0
2012-03-06,18.8,72.8,297.3433,0
2012-03-07,19.05,72.8,296.24472,0
2012-03-07,18.8,72.8,296.1123,0
2012-03-08,19.05,72.8,296.03055,0
2012-03-08,18.8,72.8,295.8,0
2012-03-09,19.05,72.8,296.45407,0
2012-03-09,18.8,72.8,296.25162,0
2012-03-10,19.05,72.8,297.50446,0
2012-03-10,18.8,72.8,297.37387,0
2012-03-11,19.05,72.8,297.3041,0
2012-03-11,18.8,72.8,297.2742,0
2012-03-12,19.05,72.8,297.27728,0
2012-03-12,18.8,72.8,297.25867,0
2012-03-13,19.05,72.8,298.13248,0
2012-03-13,18.8,72.8,297.965,0
2012-03-14,19.05,72.8,298.96036,0
2012-03-14,18.8,72.8,298.56836,0
2012-03-15,19.05,72.8,298.66782,0
2012-03-15,18.8,72.8,298.335,0
2012-03-16,19.05,72.8,298.47803,0
2012-03-16,18.8,72.8,298.22836,0
2012-03-17,19.05,72.8,298.45047,0
2012-03-17,18.8,72.8,298.07056,0
2012-03-18,19.05,72.8,299.4018,0
2012-03-18,18.8,72.8,299.0069,0
2012-03-19,19.05,72.8,298.92072,0
2012-03-19,18.8,72.8,298.5491,0
2012-03-20,19.05,72.8,299.27554,0
2012-03-20,18.8,72.8,298.81558,0
2012-03-21,19.05,72.8,299.80048,0
2012-03-21,18.8,72.8,299.3636,0
2012-03-22,19.05,72.8,299.29007,0
2012-03-22,18.8,72.8,298.89084,0
2012-03-23,19.05,72.8,299.4628,0
2012-03-23,18.8,72.8,298.90057,0
2012-03-24,19.05,72.8,300.65802,0
2012-03-24,18.8,72.8,300.03415,0
2012-03-25,19.05,72.8,300.88815,0
2012-03-25,18.8,72.8,300.07364,0
2012-03-26,19.05,72.8,299.32587,0
2012-03-26,18.8,72.8,298.74765,0
2012-03-27,19.05,72.8,298.7718,0
2012-03-27,18.8,72.8,298.52402,0
2012-03-28,19.05,72.8,299.42725,0
2012-03-28,18.8,72.8,298.86783,0
2012-03-29,19.05,72.8,299.63425,0
2012-03-29,18.8,72.8,299.29523,0
2012-03-30,19.05,72.8,299.3525,0
2012-03-30,18.8,72.8,299.21237,0
2012-03-31,19.05,72.8,299.35263,0
2012-03-31,18.8,72.8,299.1019,0
2012-04-01,19.05,72.8,300.50925,0
2012-04-01,18.8,72.8,299.98175,0
2012-04-02,19.05,72.8,300.66312,0
2012-04-02,18.8,72.8,300.40808,0
2012-04-03,19.05,72.8,300.32153,0
2012-04-03,18.8,72.8,300.21323,0
2012-04-04,19.05,72.8,299.88126,0
2012-04-04,18.8,72.8,299.70337,0
2012-04-05,19.05,72.8,299.95395,0
2012-04-05,18.8,72.8,299.74573,0
2012-04-06,19.05,72.8,299.7644,0
2012-04-06,18.8,72.8,299.51086,0
2012-04-07,19.05,72.8,299.59338,0
2012-04-07,18.8,72.8,299.3456,0
2012-04-08,19.05,72.8,299.77878,0
2012-04-08,18.8,72.8,299.4497,0
2012-04-09,19.05,72.8,299.94647,0
2012-04-09,18.8,72.8,299.75217,0
2012-04-10,19.05,72.8,300.05017,0
2012-04-10,18.8,72.8,299.855,0
2012-04-11,19.05,72.8,300.06064,0
2012-04-11,18.8,72.8,299.855,0
2012-04-12,19.05,72.8,299.65363,0
2012-04-12,18.8,72.8,299.46347,0
2012-04-13,19.05,72.8,299.76907,0
2012-04-13,18.8,72.8,299.608,0
2012-04-14,19.05,72.8,299.8699,0
2012-04-14,18.8,72.8,299.61652,0
2012-04-15,19.05,72.8,301.4873,0
2012-04-15,18.8,72.8,301.0354,0
2012-04-16,19.05,72.8,301.36255,0
2012-04-16,18.8,72.8,301.09293,0
2012-04-17,19.05,72.8,301.04596,0
2012-04-17,18.8,72.8,300.80942,0
2012-04-18,19.05,72.8,300.56393,0
2012-04-18,18.8,72.8,300.40958,0
2012-04-19,19.05,72.8,301.14474,0
2012-04-19,18.8,72.8,300.82407,0
2012-04-20,19.05,72.8,302.749,0
2012-04-20,18.8,72.8,302.4873,0
2012-04-21,19.05,72.8,302.37073,0
2012-04-21,18.8,72.8,301.93106,0
2012-04-22,19.05,72.8,301.61707,0
2012-04-22,18.8,72.8,301.23953,0
2012-04-23,19.05,72.8,300.27457,0
2012-04-23,18.8,72.8,299.9196,0
2012-04-24,19.05,72.8,300.0947,0
2012-04-24,18.8,72.8,299.7205,0
2012-04-25,19.05,72.8,300.05597,0
2012-04-25,18.8,72.8,299.77036,0
2012-04-26,19.05,72.8,300.95938,0
2012-04-26,18.8,72.8,300.53128,0
2012-04-27,19.05,72.8,301.44907,0
2012-04-27,18.8,72.8,300.99304,0
2012-04-28,19.05,72.8,301.0518,0
2012-04-28,18.8,72.8,300.69815,0
2012-04-29,19.05,72.8,299.8645,0
2012-04-29,18.8,72.8,299.61972,0
2012-04-30,19.05,72.8,300.18396,0
2012-04-30,18.8,72.8,299.97934,0
2012-05-01,19.05,72.8,300.30865,0
2012-05-01,18.8,72.8,300.0223,0
2012-05-02,19.05,72.8,300.21152,0
2012-05-02,18.8,72.8,299.9455,0
2012-05-03,19.05,72.8,300.32712,0
2012-05-03,18.8,72.8,299.99493,0
2012-05-04,19.05,72.8,300.81747,0
2012-05-04,18.8,72.8,300.57812,0
2012-05-05,19.05,72.8,301.0714,0
2012-05-05,18.8,72.8,300.82706,0
2012-05-06,19.05,72.8,300.9785,0
