valid_time,latitude,longitude,msl,number
2016-01-01,19.05,72.8,101618.44,0
2016-01-01,18.8,72.8,101610.28,0
2016-01-02,19.05,72.8,101727.48,0
2016-01-02,18.8,72.8,101725.695,0
2016-01-03,19.05,72.8,101588.88,0
2016-01-03,18.8,72.8,101584.59,0
2016-01-04,19.05,72.8,101539.13,0
2016-01-04,18.8,72.8,101531.805,0
2016-01-05,19.05,72.8,101469.01,0
2016-01-05,18.8,72.8,101463.1,0
2016-01-06,19.05,72.8,101435.73,0
2016-01-06,18.8,72.8,101434.875,0
2016-01-07,19.05,72.8,101515.72,0
2016-01-07,18.8,72.8,101514.06,0
2016-01-08,19.05,72.8,101568.0,0
2016-01-08,18.8,72.8,101562.57,0
2016-01-09,19.05,72.8,101392.09,0
2016-01-09,18.8,72.8,101383.086,0
2016-01-10,19.05,72.8,101421.98,0
2016-01-10,18.8,72.8,101415.52,0
2016-01-11,19.05,72.8,101448.57,0
2016-01-11,18.8,72.8,101446.04,0
2016-01-12,19.05,72.8,101355.51,0
2016-01-12,18.8,72.8,101356.22,0
2016-01-13,19.05,72.8,101275.97,0
2016-01-13,18.8,72.8,101277.805,0
2016-01-14,19.05,72.8,101283.4,0
2016-01-14,18.8,72.8,101288.336,0
2016-01-15,19.05,72.8,101240.01,0
2016-01-15,18.8,72.8,101242.41,0
2016-01-16,19.05,72.8,101195.164,0
2016-01-16,18.8,72.8,101198.96,0
2016-01-17,19.05,72.8,101179.99,0
2016-01-17,18.8,72.8,101180.32,0
2016-01-18,19.05,72.8,101138.84,0
2016-01-18,18.8,72.8,101139.04,0
2016-01-19,19.05,72.8,101213.305,0
2016-01-19,18.8,72.8,101210.29,0
2016-01-20,19.05,72.8,101409.18,0
2016-01-20,18.8,72.8,101398.47,0
2016-01-21,19.05,72.8,101464.12,0
2016-01-21,18.8,72.8,101442.91,0
2016-01-22,19.05,72.8,101451.164,0
2016-01-22,18.8,72.8,101431.02,0
2016-01-23,19.05,72.8,101458.56,0
2016-01-23,18.8,72.8,101444.07,0
2016-01-24,19.05,72.8,101472.445,0
2016-01-24,18.8,72.8,101464.41,0
2016-01-25,19.05,72.8,101394.4,0
2016-01-25,18.8,72.8,101391.836,0
2016-01-26,19.05,72.8,101351.56,0
2016-01-26,18.8,72.8,101351.414,0
2016-01-27,19.05,72.8,101397.22,0
2016-01-27,18.8,72.8,101394.73,0
2016-01-28,19.05,72.8,101350.28,0
2016-01-28,18.8,72.8,101346.18,0
2016-01-29,19.05,72.8,101427.84,0
2016-01-29,18.8,72.8,101425.664,0
2016-01-30,19.05,72.8,101440.0,0
2016-01-30,18.8,72.8,101433.54,0
2016-01-31,19.05,72.8,101364.12,0
2016-01-31,18.8,72.8,101358.9,0
2016-02-01,19.05,72.8,101421.48,0
2016-02-01,18.8,72.8,101417.28,0
2016-02-02,19.05,72.8,101451.52,0
2016-02-02,18.8,72.8,101444.48,0
2016-02-03,19.05,72.8,101392.82,0
2016-02-03,18.8,72.8,101385.9,0
2016-02-04,19.05,72.8,101337.91,0
2016-02-04,18.8,72.8,101336.945,0
2016-02-05,19.05,72.8,101217.28,0
2016-02-05,18.8,72.8,101223.664,0
2016-02-06,19.05,72.8,101171.695,0
2016-02-06,18.8,72.8,101179.03,0
2016-02-07,19.05,72.8,101446.37,0
2016-02-07,18.8,72.8,101445.77,0
2016-02-08,19.05,72.8,101343.414,0
2016-02-08,18.8,72.8,101342.055,0
2016-02-09,19.05,72.8,101226.52,0
2016-02-09,18.8,72.8,101233.28,0
2016-02-10,19.05,72.8,101211.43,0
2016-02-10,18.8,72.8,101216.81,0
2016-02-11,19.05,72.8,101247.91,0
2016-02-11,18.8,72.8,101252.805,0
2016-02-12,19.05,72.8,101317.54,0
2016-02-12,18.8,72.8,101319.28,0
2016-02-13,19.05,72.8,101378.23,0
2016-02-13,18.8,72.8,101378.88,0
2016-02-14,19.05,72.8,101288.79,0
2016-02-14,18.8,72.8,101284.76,0
2016-02-15,19.05,72.8,101294.336,0
2016-02-15,18.8,72.8,101294.44,0
2016-02-16,19.05,72.8,101277.41,0
2016-02-16,18.8,72.8,101282.78,0
2016-02-17,19.05,72.8,101320.09,0
2016-02-17,18.8,72.8,101324.85,0
2016-02-18,19.05,72.8,101261.695,0
2016-02-18,18.8,72.8,101263.5,0
2016-02-19,19.05,72.8,101425.34,0
2016-02-19,18.8,72.8,101427.49,0
2016-02-20,19.05,72.8,101483.664,0
2016-02-20,18.8,72.8,101482.32,0
2016-02-21,19.05,72.8,101345.37,0
2016-02-21,18.8,72.8,101345.52,0
2016-02-22,19.05,72.8,101388.16,0
2016-02-22,18.8,72.8,101384.37,0
2016-02-23,19.05,72.8,101178.15,0
2016-02-23,18.8,72.8,101182.99,0
2016-02-24,19.05,72.8,101142.375,0
2016-02-24,18.8,72.8,101153.88,0
2016-02-25,19.05,72.8,101252.48,0
2016-02-25,18.8,72.8,101254.31,0
2016-02-26,19.05,72.8,101328.4,0
2016-02-26,18.8,72.8,101332.06,0
2016-02-27,19.05,72.8,101296.055,0
2016-02-27,18.8,72.8,101302.34,0
2016-02-28,19.05,72.8,101400.26,0
2016-02-28,18.8,72.8,101408.79,0
2016-02-29,19.05,72.8,101415.82,0
2016-02-29,18.8,72.8,101420.15,0
2016-03-01,19.05,72.8,101213.23,0
2016-03-01,18.8,72.8,101219.18,0
2016-03-02,19.05,72.8,101259.15,0
2016-03-02,18.8,72.8,101263.625,0
2016-03-03,19.05,72.8,101388.4,0
2016-03-03,18.8,72.8,101390.56,0
2016-03-04,19.05,72.8,101284.195,0
2016-03-04,18.8,72.8,101281.88,0
2016-03-05,19.05,72.8,101144.1,0
2016-03-05,18.8,72.8,101145.63,0
2016-03-06,19.05,72.8,101137.26,0
2016-03-06,18.8,72.8,101137.79,0
2016-03-07,19.05,72.8,101094.98,0
2016-03-07,18.8,72.8,101097.555,0
2016-03-08,19.05,72.8,101016.586,0
2016-03-08,18.8,72.8,101016.52,0
2016-03-09,19.05,72.8,101092.41,0
2016-03-09,18.8,72.8,101092.73,0
2016-03-10,19.05,72.8,101133.63,0
2016-03-10,18.8,72.8,101130.15,0
2016-03-11,19.05,72.8,101137.68,0
2016-03-11,18.8,72.8,101144.44,0
2016-03-12,19.05,72.8,101134.27,0
2016-03-12,18.8,72.8,101142.32,0
2016-03-13,19.05,72.8,101277.84,0
2016-03-13,18.8,72.8,101282.78,0
2016-03-14,19.05,72.8,101309.23,0
2016-03-14,18.8,72.8,101312.73,0
2016-03-15,19.05,72.8,101173.63,0
2016-03-15,18.8,72.8,101183.1,0
2016-03-16,19.05,72.8,101133.805,0
2016-03-16,18.8,72.8,101145.65,0
2016-03-17,19.05,72.8,101166.15,0
2016-03-17,18.8,72.8,101174.21,0
2016-03-18,19.05,72.8,101139.195,0
2016-03-18,18.8,72.8,101142.85,0
2016-03-19,19.05,72.8,101106.46,0
2016-03-19,18.8,72.8,101105.32,0
2016-03-20,19.05,72.8,101186.19,0
2016-03-20,18.8,72.8,101183.75,0
2016-03-21,19.05,72.8,101158.086,0
2016-03-21,18.8,72.8,101159.32,0
2016-03-22,19.05,72.8,100952.35,0
2016-03-22,18.8,72.8,100955.53,0
2016-03-23,19.05,72.8,100870.46,0
2016-03-23,18.8,72.8,100879.87,0
2016-03-24,19.05,72.8,101074.4,0
2016-03-24,18.8,72.8,101087.16,0
2016-03-25,19.05,72.8,101219.29,0
2016-03-25,18.8,72.8,101229.836,0
2016-03-26,19.05,72.8,101200.32,0
2016-03-26,18.8,72.8,101209.81,0
2016-03-27,19.05,72.8,101107.41,0
2016-03-27,18.8,72.8,101116.15,0
2016-03-28,19.05,72.8,101134.78,0
2016-03-28,18.8,72.8,101140.125,0
2016-03-29,19.05,72.8,101185.12,0
2016-03-29,18.8,72.8,101192.96,0
