valid_time,latitude,longitude,t2m,number
2018-01-01,19.05,72.8,296.76865,0
2018-01-01,18.8,72.8,296.9606,0
2018-01-02,19.05,72.8,296.37167,0
2018-01-02,18.8,72.8,296.64902,0
2018-01-03,19.05,72.8,296.69333,0
2018-01-03,18.8,72.8,296.84628,0
2018-01-04,19.05,72.8,296.91977,0
2018-01-04,18.8,72.8,297.0236,0
2018-01-05,19.05,72.8,296.7474,0
2018-01-05,18.8,72.8,296.91443,0
2018-01-06,19.05,72.8,296.658,0
2018-01-06,18.8,72.8,296.9133,0
2018-01-07,19.05,72.8,296.07617,0
2018-01-07,18.8,72.8,296.31802,0
2018-01-08,19.05,72.8,295.74707,0
2018-01-08,18.8,72.8,295.9539,0
2018-01-09,19.05,72.8,296.73483,0
2018-01-09,18.8,72.8,296.89847,0
2018-01-10,19.05,72.8,297.67206,0
2018-01-10,18.8,72.8,297.80872,0
2018-01-11,19.05,72.8,298.20758,0
2018-01-11,18.8,72.8,298.31412,0
2018-01-12,19.05,72.8,298.5582,0
2018-01-12,18.8,72.8,298.64526,0
2018-01-13,19.05,72.8,298.6061,0
2018-01-13,18.8,72.8,298.61444,0
2018-01-14,19.05,72.8,298.80063,0
2018-01-14,18.8,72.8,298.69653,0
2018-01-15,19.05,72.8,299.09155,0
2018-01-15,18.8,72.8,299.02692,0
2018-01-16,19.05,72.8,299.47937,0
2018-01-16,18.8,72.8,299.44058,0
2018-01-17,19.05,72.8,299.0016,0
2018-01-17,18.8,72.8,299.04623,0
2018-01-18,19.05,72.8,298.7844,0
2018-01-18,18.8,72.8,298.92215,0
2018-01-19,19.05,72.8,298.65186,0
2018-01-19,18.8,72.8,298.71735,0
2018-01-20,19.05,72.8,298.0447,0
2018-01-20,18.8,72.8,298.03174,0
2018-01-21,19.05,72.8,297.8702,0
2018-01-21,18.8,72.8,297.8143,0
2018-01-22,19.05,72.8,297.44626,0
2018-01-22,18.8,72.8,297.40375,0
2018-01-23,19.05,72.8,296.8212,0
2018-01-23,18.8,72.8,296.85434,0
2018-01-24,19.05,72.8,296.42932,0
2018-01-24,18.8,72.8,296.40787,0
2018-01-25,19.05,72.8,296.73526,0
2018-01-25,18.8,72.8,296.838,0
2018-01-26,19.05,72.8,296.99484,0
2018-01-26,18.8,72.8,297.208,0
2018-01-27,19.05,72.8,296.93735,0
2018-01-27,18.8,72.8,297.1035,0
2018-01-28,19.05,72.8,296.87387,0
2018-01-28,18.8,72.8,296.91458,0
2018-01-29,19.05,72.8,297.4155,0
2018-01-29,18.8,72.8,297.40646,0
2018-01-30,19.05,72.8,298.3649,0
2018-01-30,18.8,72.8,298.438,0
2018-01-31,19.05,72.8,298.27664,0
2018-01-31,18.8,72.8,298.37003,0
2018-02-01,19.05,72.8,298.11554,0
2018-02-01,18.8,72.8,298.0815,0
2018-02-02,19.05,72.8,297.68832,0
2018-02-02,18.8,72.8,297.71088,0
2018-02-03,19.05,72.8,297.98953,0
2018-02-03,18.8,72.8,297.98975,0
2018-02-04,19.05,72.8,298.03845,0
2018-02-04,18.8,72.8,297.9112,0
2018-02-05,19.05,72.8,297.79294,0
2018-02-05,18.8,72.8,297.69574,0
2018-02-06,19.05,72.8,297.91788,0
2018-02-06,18.8,72.8,297.80444,0
2018-02-07,19.05,72.8,297.91153,0
2018-02-07,18.8,72.8,298.02487,0
2018-02-08,19.05,72.8,297.03787,0
2018-02-08,18.8,72.8,297.14496,0
2018-02-09,19.05,72.8,297.12173,0
2018-02-09,18.8,72.8,297.30276,0
2018-02-10,19.05,72.8,297.02786,0
2018-02-10,18.8,72.8,297.26883,0
2018-02-11,19.05,72.8,296.618,0
2018-02-11,18.8,72.8,296.7289,0
2018-02-12,19.05,72.8,296.26193,0
2018-02-12,18.8,72.8,296.27805,0
2018-02-13,19.05,72.8,297.06012,0
2018-02-13,18.8,72.8,296.90857,0
2018-02-14,19.05,72.8,298.62137,0
2018-02-14,18.8,72.8,298.44644,0
2018-02-15,19.05,72.8,299.77444,0
2018-02-15,18.8,72.8,299.82364,0
2018-02-16,19.05,72.8,299.32877,0
2018-02-16,18.8,72.8,299.23483,0
2018-02-17,19.05,72.8,298.8839,0
2018-02-17,18.8,72.8,298.8681,0
2018-02-18,19.05,72.8,298.78793,0
2018-02-18,18.8,72.8,298.76273,0
2018-02-19,19.05,72.8,298.89172,0
2018-02-19,18.8,72.8,298.82465,0
2018-02-20,19.05,72.8,298.8984,0
2018-02-20,18.8,72.8,298.7289,0
2018-02-21,19.05,72.8,299.07553,0
2018-02-21,18.8,72.8,298.84604,0
2018-02-22,19.05,72.8,299.39755,0
2018-02-22,18.8,72.8,299.04807,0
2018-02-23,19.05,72.8,298.96603,0
2018-02-23,18.8,72.8,298.73483,0
2018-02-24,19.05,72.8,299.52072,0
2018-02-24,18.8,72.8,299.26584,0
2018-02-25,19.05,72.8,300.28903,0
2018-02-25,18.8,72.8,300.17825,0
2018-02-26,19.05,72.8,300.0606,0
2018-02-26,18.8,72.8,299.86124,0
2018-02-27,19.05,72.8,300.07913,0
2018-02-27,18.8,72.8,299.84885,0
2018-02-28,19.05,72.8,300.35034,0
2018-02-28,18.8,72.8,300.2033,0
2018-03-01,19.05,72.8,299.89142,0
2018-03-01,18.8,72.8,299.8637,0
