valid_time,latitude,longitude,max_temperature,mean_temperature
2012-01-01,18.8,72.8,298.4165,297.08255
2012-01-01,19.05,72.8,298.7636,296.96805
2012-01-02,18.8,72.8,298.37823,296.42886
2012-01-02,19.05,72.8,299.0282,296.2494
2012-01-03,18.8,72.8,298.8562,296.9651
2012-01-03,19.05,72.8,299.4902,296.69504
2012-01-04,18.8,72.8,298.2823,296.4855
2012-01-04,19.05,72.8,298.96832,296.2083
2012-01-05,18.8,72.8,299.34198,296.9696
2012-01-05,19.05,72.8,300.2144,296.83798
2012-01-06,18.8,72.8,298.935,297.12463
2012-01-06,19.05,72.8,299.6479,296.91772
2012-01-07,18.8,72.8,298.29865,296.38754
2012-01-07,19.05,72.8,298.95746,296.2338
2012-01-08,18.8,72.8,298.39557,296.3217
2012-01-08,19.05,72.8,298.81244,296.09756
2012-01-09,18.8,72.8,297.68076,295.44614
2012-01-09,19.05,72.8,298.07617,295.19662
2012-01-10,18.8,72.8,298.46802,295.806
2012-01-10,19.05,72.8,298.75137,295.53558
2012-01-11,18.8,72.8,299.31247,296.38028
2012-01-11,19.05,72.8,299.43103,296.03287
2012-01-12,18.8,72.8,299.75412,296.61118
2012-01-12,19.05,72.8,299.74136,296.1886
2012-01-13,18.8,72.8,299.63177,296.75735
2012-01-13,19.05,72.8,299.8101,296.43207
2012-01-14,18.8,72.8,300.01318,296.8677
2012-01-14,19.05,72.8,300.4521,296.58844
2012-01-15,18.8,72.8,298.83954,296.52048
2012-01-15,19.05,72.8,299.71954,296.33914
2012-01-16,18.8,72.8,297.94525,296.13898
2012-01-16,19.05,72.8,298.53308,295.94366
2012-01-17,18.8,72.8,297.48846,295.59232
2012-01-17,19.05,72.8,298.05707,295.4179
2012-01-18,18.8,72.8,296.14993,295.18637
2012-01-18,19.05,72.8,296.35406,295.071
2012-01-19,18.8,72.8,295.87115,294.69266
2012-01-19,19.05,72.8,296.1271,294.4996
2012-01-20,18.8,72.8,297.01767,294.9388
2012-01-20,19.05,72.8,297.45828,294.7888
2012-01-21,18.8,72.8,298.5216,295.75107
2012-01-21,19.05,72.8,299.0712,295.5007
2012-01-22,18.8,72.8,297.0414,295.96136
2012-01-22,19.05,72.8,297.2782,295.69363
2012-01-23,18.8,72.8,297.50806,295.71414
2012-01-23,19.05,72.8,298.2025,295.64215
2012-01-24,18.8,72.8,299.2448,296.62552
2012-01-24,19.05,72.8,299.93817,296.53513
2012-01-25,18.8,72.8,297.99628,296.40784
2012-01-25,19.05,72.8,298.68484,296.3204
2012-01-26,18.8,72.8,297.88354,296.11838
2012-01-26,19.05,72.8,298.4583,296.07132
2012-01-27,18.8,72.8,297.9684,296.09195
2012-01-27,19.05,72.8,298.55157,296.0422
2012-01-28,18.8,72.8,297.88138,295.86935
2012-01-28,19.05,72.8,298.31235,295.7184
2012-01-29,18.8,72.8,297.19012,295.02347
2012-01-29,19.05,72.8,297.63367,294.83975
2012-01-30,18.8,72.8,297.75732,295.32446
2012-01-30,19.05,72.8,298.75983,295.32297
2012-01-31,18.8,72.8,298.65247,296.63907
2012-01-31,19.05,72.8,299.24908,296.6924
2012-02-01,18.8,72.8,299.75085,297.43063
2012-02-01,19.05,72.8,300.27417,297.56778
2012-02-02,18.8,72.8,301.168,297.8414
2012-02-02,19.05,72.8,301.38565,297.90985
2012-02-03,18.8,72.8,299.9428,297.8645
2012-02-03,19.05,72.8,300.61133,297.9169
2012-02-04,18.8,72.8,298.76376,297.48605
2012-02-04,19.05,72.8,299.48193,297.564
2012-02-05,18.8,72.8,299.11664,297.2025
2012-02-05,19.05,72.8,299.76987,297.18118
2012-02-06,18.8,72.8,298.30713,296.88608
2012-02-06,19.05,72.8,299.0802,296.86722
2012-02-07,18.8,72.8,297.38528,296.39145
2012-02-07,19.05,72.8,297.82614,296.26437
2012-02-08,18.8,72.8,296.63483,294.76672
2012-02-08,19.05,72.8,296.8352,294.47018
2012-02-09,18.8,72.8,297.69354,294.3659
2012-02-09,19.05,72.8,298.2399,294.2151
2012-02-10,18.8,72.8,298.011,295.35342
2012-02-10,19.05,72.8,298.52255,295.27698
2012-02-11,18.8,72.8,298.24634,296.06503
2012-02-11,19.05,72.8,299.10577,295.99667
2012-02-12,18.8,72.8,296.72357,295.42075
