valid_time,latitude,longitude,t2m,number
2013-01-01,19.05,72.8,299.3642,0
2013-01-01,18.8,72.8,299.05432,0
2013-01-02,19.05,72.8,299.39655,0
2013-01-02,18.8,72.8,298.8977,0
2013-01-03,19.05,72.8,299.05615,0
2013-01-03,18.8,72.8,298.57944,0
2013-01-04,19.05,72.8,298.7774,0
2013-01-04,18.8,72.8,298.4343,0
2013-01-05,19.05,72.8,298.287,0
2013-01-05,18.8,72.8,297.8847,0
2013-01-06,19.05,72.8,297.8161,0
2013-01-06,18.8,72.8,297.40955,0
2013-01-07,19.05,72.8,298.76917,0
2013-01-07,18.8,72.8,298.1978,0
2013-01-08,19.05,72.8,299.54083,0
2013-01-08,18.8,72.8,298.74796,0
2013-01-09,19.05,72.8,300.4559,0
2013-01-09,18.8,72.8,299.8083,0
2013-01-10,19.05,72.8,300.2797,0
2013-01-10,18.8,72.8,299.5207,0
2013-01-11,19.05,72.8,301.16415,0
2013-01-11,18.8,72.8,301.03986,0
2013-01-12,19.05,72.8,300.73334,0
2013-01-12,18.8,72.8,300.26932,0
2013-01-13,19.05,72.8,301.17047,0
2013-01-13,18.8,72.8,300.1906,0
2013-01-14,19.05,72.8,300.72012,0
2013-01-14,18.8,72.8,300.06335,0
2013-01-15,19.05,72.8,300.1543,0
2013-01-15,18.8,72.8,299.58344,0
2013-01-16,19.05,72.8,299.90918,0
2013-01-16,18.8,72.8,299.16925,0
2013-01-17,19.05,72.8,298.67676,0
2013-01-17,18.8,72.8,298.35748,0
2013-01-18,19.05,72.8,297.37344,0
2013-01-18,18.8,72.8,297.23563,0
2013-01-19,19.05,72.8,298.4988,0
2013-01-19,18.8,72.8,298.10812,0
2013-01-20,19.05,72.8,299.56537,0
2013-01-20,18.8,72.8,299.05307,0
2013-01-21,19.05,72.8,298.94617,0
2013-01-21,18.8,72.8,298.4272,0
2013-01-22,19.05,72.8,299.37744,0
2013-01-22,18.8,72.8,298.69064,0
2013-01-23,19.05,72.8,298.3422,0
2013-01-23,18.8,72.8,297.7742,0
2013-01-24,19.05,72.8,298.38574,0
2013-01-24,18.8,72.8,297.73816,0
2013-01-25,19.05,72.8,298.72137,0
2013-01-25,18.8,72.8,298.15063,0
2013-01-26,19.05,72.8,299.01218,0
2013-01-26,18.8,72.8,298.32556,0
2013-01-27,19.05,72.8,299.88477,0
2013-01-27,18.8,72.8,299.2652,0
2013-01-28,19.05,72.8,299.36798,0
2013-01-28,18.8,72.8,298.80084,0
2013-01-29,19.05,72.8,299.22528,0
2013-01-29,18.8,72.8,298.6581,0
2013-01-30,19.05,72.8,299.18378,0
2013-01-30,18.8,72.8,298.58502,0
2013-01-31,19.05,72.8,299.45236,0
2013-01-31,18.8,72.8,298.7965,0
2013-02-01,19.05,72.8,300.23016,0
2013-02-01,18.8,72.8,299.6894,0
2013-02-02,19.05,72.8,299.76123,0
2013-02-02,18.8,72.8,299.02734,0
2013-02-03,19.05,72.8,299.9442,0
2013-02-03,18.8,72.8,299.2293,0
2013-02-04,19.05,72.8,298.6895,0
2013-02-04,18.8,72.8,298.19357,0
2013-02-05,19.05,72.8,298.42435,0
2013-02-05,18.8,72.8,298.05325,0
2013-02-06,19.05,72.8,297.58362,0
2013-02-06,18.8,72.8,297.30594,0
2013-02-07,19.05,72.8,298.19647,0
2013-02-07,18.8,72.8,297.6671,0
2013-02-08,19.05,72.8,299.13605,0
2013-02-08,18.8,72.8,298.17877,0
2013-02-09,19.05,72.8,301.18445,0
2013-02-09,18.8,72.8,300.14346,0
2013-02-10,19.05,72.8,299.83722,0
2013-02-10,18.8,72.8,299.2141,0
2013-02-11,19.05,72.8,301.12366,0
2013-02-11,18.8,72.8,300.04617,0
2013-02-12,19.05,72.8,302.47534,0
2013-02-12,18.8,72.8,301.5864,0
2013-02-13,19.05,72.8,302.70557,0
2013-02-13,18.8,72.8,302.11447,0
