valid_time,latitude,longitude,msl,number
2022-03-05,19.05,72.8,101107.54,0
2022-03-05,18.8,72.8,101107.97,0
2022-03-06,19.05,72.8,100986.695,0
2022-03-06,18.8,72.8,100989.15,0
2022-03-07,19.05,72.8,101014.04,0
2022-03-07,18.8,72.8,101021.29,0
2022-03-08,19.05,72.8,101011.086,0
2022-03-08,18.8,72.8,101008.805,0
2022-03-09,19.05,72.8,101001.664,0
2022-03-09,18.8,72.8,101001.195,0
2022-03-10,19.05,72.8,100986.01,0
2022-03-10,18.8,72.8,100985.13,0
2022-03-11,19.05,72.8,100954.21,0
2022-03-11,18.8,72.8,100956.22,0
2022-03-12,19.05,72.8,100936.28,0
2022-03-12,18.8,72.8,100938.06,0
2022-03-13,19.05,72.8,100955.055,0
2022-03-13,18.8,72.8,100950.664,0
2022-03-14,19.05,72.8,100988.1,0
2022-03-14,18.8,72.8,100981.97,0
2022-03-15,19.05,72.8,100876.414,0
2022-03-15,18.8,72.8,100876.48,0
2022-03-16,19.05,72.8,100752.46,0
2022-03-16,18.8,72.8,100755.25,0
2022-03-17,19.05,72.8,100656.625,0
2022-03-17,18.8,72.8,100666.586,0
2022-03-18,19.05,72.8,100624.664,0
2022-03-18,18.8,72.8,100641.93,0
2022-03-19,19.05,72.8,100642.09,0
2022-03-19,18.8,72.8,100658.6,0
2022-03-20,19.05,72.8,100732.4,0
2022-03-20,18.8,72.8,100742.47,0
2022-03-21,19.05,72.8,100801.69,0
2022-03-21,18.8,72.8,100807.71,0
2022-03-22,19.05,72.8,100736.73,0
2022-03-22,18.8,72.8,100741.914,0
2022-03-23,19.05,72.8,100662.055,0
2022-03-23,18.8,72.8,100665.72,0
2022-03-24,19.05,72.8,100694.21,0
2022-03-24,18.8,72.8,100706.91,0
2022-03-25,19.05,72.8,100848.9,0
2022-03-25,18.8,72.8,100854.79,0
2022-03-26,19.05,72.8,101056.0,0
2022-03-26,18.8,72.8,101062.37,0
2022-03-27,19.05,72.8,101091.47,0
2022-03-27,18.8,72.8,101099.99,0
2022-03-28,19.05,72.8,101012.28,0
2022-03-28,18.8,72.8,101017.22,0
2022-03-29,19.05,72.8,100893.41,0
2022-03-29,18.8,72.8,100901.24,0
2022-03-30,19.05,72.8,100860.48,0
2022-03-30,18.8,72.8,100868.73,0
2022-03-31,19.05,72.8,100935.836,0
2022-03-31,18.8,72.8,100941.24,0
2022-04-01,19.05,72.8,100925.555,0
2022-04-01,18.8,72.8,100929.81,0
2022-04-02,19.05,72.8,101022.805,0
2022-04-02,18.8,72.8,101030.086,0
2022-04-03,19.05,72.8,100962.34,0
2022-04-03,18.8,72.8,100970.38,0
2022-04-04,19.05,72.8,100956.97,0
2022-04-04,18.8,72.8,100967.5,0
2022-04-05,19.05,72.8,101130.68,0
2022-04-05,18.8,72.8,101140.94,0
2022-04-06,19.05,72.8,101174.0,0
2022-04-06,18.8,72.8,101183.65,0
2022-04-07,19.05,72.8,101052.305,0
2022-04-07,18.8,72.8,101060.88,0
2022-04-08,19.05,72.8,100896.51,0
2022-04-08,18.8,72.8,100908.06,0
2022-04-09,19.05,72.8,100868.91,0
2022-04-09,18.8,72.8,100878.375,0
2022-04-10,19.05,72.8,100870.51,0
2022-04-10,18.8,72.8,100879.68,0
2022-04-11,19.05,72.8,100786.164,0
2022-04-11,18.8,72.8,100794.37,0
2022-04-12,19.05,72.8,100654.57,0
2022-04-12,18.8,72.8,100660.5,0
2022-04-13,19.05,72.8,100555.49,0
2022-04-13,18.8,72.8,100564.59,0
2022-04-14,19.05,72.8,100637.07,0
2022-04-14,18.8,72.8,100649.875,0
2022-04-15,19.05,72.8,100745.38,0
2022-04-15,18.8,72.8,100752.375,0
2022-04-16,19.05,72.8,100667.875,0
2022-04-16,18.8,72.8,100675.5,0
2022-04-17,19.05,72.8,100750.01,0
2022-04-17,18.8,72.8,100757.555,0
2022-04-18,19.05,72.8,100956.586,0
2022-04-18,18.8,72.8,100965.73,0
2022-04-19,19.05,72.8,101102.53,0
2022-04-19,18.8,72.8,101110.0,0
2022-04-20,19.05,72.8,100882.63,0
2022-04-20,18.8,72.8,100889.43,0
