valid_time,latitude,longitude,t2m,number
2022-01-01,19.05,72.8,301.39688,0
2022-01-01,18.8,72.8,300.71133,0
2022-01-02,19.05,72.8,301.44702,0
2022-01-02,18.8,72.8,300.8448,0
2022-01-03,19.05,72.8,301.27325,0
2022-01-03,18.8,72.8,300.86963,0
2022-01-04,19.05,72.8,301.4541,0
2022-01-04,18.8,72.8,300.90237,0
2022-01-05,19.05,72.8,299.7732,0
2022-01-05,18.8,72.8,299.29068,0
2022-01-06,19.05,72.8,298.85828,0
2022-01-06,18.8,72.8,298.52753,0
2022-01-07,19.05,72.8,298.98343,0
2022-01-07,18.8,72.8,298.61963,0
2022-01-08,19.05,72.8,297.23102,0
2022-01-08,18.8,72.8,297.41803,0
2022-01-09,19.05,72.8,297.43234,0
2022-01-09,18.8,72.8,297.0676,0
2022-01-10,19.05,72.8,296.3154,0
2022-01-10,18.8,72.8,295.8793,0
2022-01-11,19.05,72.8,296.55154,0
2022-01-11,18.8,72.8,296.13147,0
2022-01-12,19.05,72.8,297.02386,0
2022-01-12,18.8,72.8,296.73334,0
2022-01-13,19.05,72.8,297.17722,0
2022-01-13,18.8,72.8,296.82892,0
2022-01-14,19.05,72.8,297.26456,0
2022-01-14,18.8,72.8,296.8357,0
2022-01-15,19.05,72.8,299.58887,0
2022-01-15,18.8,72.8,299.17538,0
2022-01-16,19.05,72.8,300.24365,0
2022-01-16,18.8,72.8,299.798,0
2022-01-17,19.05,72.8,300.1864,0
2022-01-17,18.8,72.8,299.89093,0
2022-01-18,19.05,72.8,299.78943,0
2022-01-18,18.8,72.8,299.33527,0
2022-01-19,19.05,72.8,299.74994,0
2022-01-19,18.8,72.8,299.13162,0
2022-01-20,19.05,72.8,299.0529,0
2022-01-20,18.8,72.8,298.6811,0
2022-01-21,19.05,72.8,298.50113,0
2022-01-21,18.8,72.8,298.21957,0
2022-01-22,19.05,72.8,298.45807,0
2022-01-22,18.8,72.8,298.29163,0
2022-01-23,19.05,72.8,296.85495,0
2022-01-23,18.8,72.8,296.9255,0
2022-01-24,19.05,72.8,295.46817,0
2022-01-24,18.8,72.8,295.00027,0
2022-01-25,19.05,72.8,297.16684,0
2022-01-25,18.8,72.8,296.94193,0
2022-01-26,19.05,72.8,298.35837,0
2022-01-26,18.8,72.8,298.03333,0
2022-01-27,19.05,72.8,299.41287,0
2022-01-27,18.8,72.8,299.11667,0
2022-01-28,19.05,72.8,299.68536,0
2022-01-28,18.8,72.8,299.57855,0
2022-01-29,19.05,72.8,300.10907,0
2022-01-29,18.8,72.8,299.58115,0
2022-01-30,19.05,72.8,299.5689,0
2022-01-30,18.8,72.8,299.05542,0
2022-01-31,19.05,72.8,299.15466,0
2022-01-31,18.8,72.8,298.55707,0
2022-02-01,19.05,72.8,299.24475,0
2022-02-01,18.8,72.8,298.7364,0
2022-02-02,19.05,72.8,298.93713,0
2022-02-02,18.8,72.8,298.19745,0
2022-02-03,19.05,72.8,297.79553,0
2022-02-03,18.8,72.8,297.57047,0
2022-02-04,19.05,72.8,297.66934,0
2022-02-04,18.8,72.8,297.31354,0
2022-02-05,19.05,72.8,298.50818,0
2022-02-05,18.8,72.8,297.81506,0
2022-02-06,19.05,72.8,298.72375,0
2022-02-06,18.8,72.8,298.08264,0
2022-02-07,19.05,72.8,297.65894,0
2022-02-07,18.8,72.8,297.1108,0
2022-02-08,19.05,72.8,297.32962,0
2022-02-08,18.8,72.8,296.8129,0
2022-02-09,19.05,72.8,298.09406,0
2022-02-09,18.8,72.8,297.4874,0
2022-02-10,19.05,72.8,299.68915,0
2022-02-10,18.8,72.8,299.24237,0
2022-02-11,19.05,72.8,300.92706,0
2022-02-11,18.8,72.8,300.71774,0
2022-02-12,19.05,72.8,300.3733,0
2022-02-12,18.8,72.8,299.80557,0
2022-02-13,19.05,72.8,299.9976,0
2022-02-13,18.8,72.8,299.3435,0
2022-02-14,19.05,72.8,299.18405,0
