valid_time,latitude,longitude,tp,number
2023-01-01,19.05,72.8,0.0,0
2023-01-01,18.8,72.8,0.0,0
2023-01-02,19.05,72.8,0.0,0
2023-01-02,18.8,72.8,0.0,0
2023-01-03,19.05,72.8,0.0,0
2023-01-03,18.8,72.8,0.0,0
2023-01-04,19.05,72.8,0.0,0
2023-01-04,18.8,72.8,0.0,0
2023-01-05,19.05,72.8,0.0,0
2023-01-05,18.8,72.8,0.0,0
2023-01-06,19.05,72.8,0.0,0
2023-01-06,18.8,72.8,0.0,0
2023-01-07,19.05,72.8,0.0,0
2023-01-07,18.8,72.8,0.0,0
2023-01-08,19.05,72.8,0.0,0
2023-01-08,18.8,72.8,0.0,0
2023-01-09,19.05,72.8,0.0,0
2023-01-09,18.8,72.8,0.0,0
2023-01-10,19.05,72.8,0.0,0
2023-01-10,18.8,72.8,0.0,0
2023-01-11,19.05,72.8,0.0,0
2023-01-11,18.8,72.8,0.0,0
2023-01-12,19.05,72.8,0.0,0
2023-01-12,18.8,72.8,0.0,0
2023-01-13,19.05,72.8,1.1443954e-06,0
2023-01-13,18.8,72.8,1.7169541e-05,0
2023-01-14,19.05,72.8,0.0,0
2023-01-14,18.8,72.8,0.0,0
2023-01-15,19.05,72.8,0.0,0
2023-01-15,18.8,72.8,0.0,0
2023-01-16,19.05,72.8,0.0,0
2023-01-16,18.8,72.8,0.0,0
2023-01-17,19.05,72.8,0.0,0
2023-01-17,18.8,72.8,0.0,0
2023-01-18,19.05,72.8,0.0,0
2023-01-18,18.8,72.8,0.0,0
2023-01-19,19.05,72.8,1.9063373e-07,0
2023-01-19,18.8,72.8,0.0,0
2023-01-20,19.05,72.8,3.8135647e-07,0
2023-01-20,18.8,72.8,9.531675e-08,0
2023-01-21,19.05,72.8,0.0,0
2023-01-21,18.8,72.8,0.0,0
2023-01-22,19.05,72.8,0.0,0
2023-01-22,18.8,72.8,0.0,0
2023-01-23,19.05,72.8,0.0,0
2023-01-23,18.8,72.8,0.0,0
2023-01-24,19.05,72.8,0.0,0
2023-01-24,18.8,72.8,0.0,0
2023-01-25,19.05,72.8,0.0,0
2023-01-25,18.8,72.8,0.0,0
2023-01-26,19.05,72.8,0.0,0
2023-01-26,18.8,72.8,0.0,0
