valid_time,latitude,longitude,t2m,number
2017-01-01,19.05,72.8,297.68063,0
2017-01-01,18.8,72.8,297.88855,0
2017-01-02,19.05,72.8,297.71616,0
2017-01-02,18.8,72.8,297.97018,0
2017-01-03,19.05,72.8,297.87106,0
2017-01-03,18.8,72.8,298.17783,0
2017-01-04,19.05,72.8,297.51218,0
2017-01-04,18.8,72.8,297.86172,0
2017-01-05,19.05,72.8,297.37143,0
2017-01-05,18.8,72.8,297.62204,0
2017-01-06,19.05,72.8,296.32748,0
2017-01-06,18.8,72.8,296.6274,0
2017-01-07,19.05,72.8,295.63998,0
2017-01-07,18.8,72.8,295.82837,0
2017-01-08,19.05,72.8,296.29803,0
2017-01-08,18.8,72.8,296.46887,0
2017-01-09,19.05,72.8,296.5177,0
2017-01-09,18.8,72.8,296.53378,0
2017-01-10,19.05,72.8,296.11197,0
2017-01-10,18.8,72.8,296.32626,0
2017-01-11,19.05,72.8,295.65045,0
2017-01-11,18.8,72.8,295.9915,0
2017-01-12,19.05,72.8,295.36084,0
2017-01-12,18.8,72.8,295.78513,0
2017-01-13,19.05,72.8,295.8434,0
2017-01-13,18.8,72.8,296.20688,0
2017-01-14,19.05,72.8,296.60654,0
2017-01-14,18.8,72.8,296.86465,0
2017-01-15,19.05,72.8,297.06094,0
2017-01-15,18.8,72.8,297.189,0
2017-01-16,19.05,72.8,296.96146,0
2017-01-16,18.8,72.8,297.15384,0
2017-01-17,19.05,72.8,296.6837,0
2017-01-17,18.8,72.8,296.8942,0
2017-01-18,19.05,72.8,296.65308,0
2017-01-18,18.8,72.8,296.868,0
2017-01-19,19.05,72.8,297.49545,0
2017-01-19,18.8,72.8,297.6843,0
2017-01-20,19.05,72.8,297.60373,0
2017-01-20,18.8,72.8,297.80362,0
2017-01-21,19.05,72.8,297.6315,0
2017-01-21,18.8,72.8,297.80185,0
2017-01-22,19.05,72.8,298.1835,0
2017-01-22,18.8,72.8,298.39322,0
2017-01-23,19.05,72.8,298.5391,0
2017-01-23,18.8,72.8,298.6886,0
2017-01-24,19.05,72.8,299.058,0
2017-01-24,18.8,72.8,299.20398,0
2017-01-25,19.05,72.8,299.00912,0
2017-01-25,18.8,72.8,298.99023,0
2017-01-26,19.05,72.8,298.34286,0
2017-01-26,18.8,72.8,298.34232,0
2017-01-27,19.05,72.8,297.23923,0
2017-01-27,18.8,72.8,297.3521,0
2017-01-28,19.05,72.8,298.02283,0
2017-01-28,18.8,72.8,298.2122,0
2017-01-29,19.05,72.8,298.42017,0
2017-01-29,18.8,72.8,298.6107,0
2017-01-30,19.05,72.8,298.25275,0
2017-01-30,18.8,72.8,298.2988,0
2017-01-31,19.05,72.8,298.15887,0
2017-01-31,18.8,72.8,298.16586,0
2017-02-01,19.05,72.8,297.94205,0
2017-02-01,18.8,72.8,298.01404,0
2017-02-02,19.05,72.8,298.14673,0
2017-02-02,18.8,72.8,298.18585,0
2017-02-03,19.05,72.8,298.10382,0
2017-02-03,18.8,72.8,297.95892,0
2017-02-04,19.05,72.8,297.16733,0
2017-02-04,18.8,72.8,297.2072,0
2017-02-05,19.05,72.8,296.48697,0
2017-02-05,18.8,72.8,296.52243,0
2017-02-06,19.05,72.8,296.22418,0
2017-02-06,18.8,72.8,296.23138,0
2017-02-07,19.05,72.8,296.47916,0
2017-02-07,18.8,72.8,296.57535,0
2017-02-08,19.05,72.8,297.2524,0
2017-02-08,18.8,72.8,297.24597,0
2017-02-09,19.05,72.8,297.7038,0
2017-02-09,18.8,72.8,297.73764,0
2017-02-10,19.05,72.8,297.1819,0
2017-02-10,18.8,72.8,297.26395,0
2017-02-11,19.05,72.8,296.6055,0
2017-02-11,18.8,72.8,296.85562,0
2017-02-12,19.05,72.8,296.7388,0
2017-02-12,18.8,72.8,296.79062,0
2017-02-13,19.05,72.8,297.68744,0
2017-02-13,18.8,72.8,297.724,0
2017-02-14,19.05,72.8,298.89053,0
2017-02-14,18.8,72.8,298.81827,0
2017-02-15,19.05,72.8,299.71524,0
2017-02-15,18.8,72.8,299.70804,0
2017-02-16,19.05,72.8,299.90967,0
2017-02-16,18.8,72.8,299.92245,0
2017-02-17,19.05,72.8,299.93448,0
2017-02-17,18.8,72.8,299.8433,0
2017-02-18,19.05,72.8,300.09106,0
2017-02-18,18.8,72.8,299.91025,0
2017-02-19,19.05,72.8,299.7321,0
2017-02-19,18.8,72.8,299.47147,0
2017-02-20,19.05,72.8,299.57672,0
2017-02-20,18.8,72.8,299.46716,0
2017-02-21,19.05,72.8,297.9083,0
2017-02-21,18.8,72.8,297.9535,0
2017-02-22,19.05,72.8,297.45657,0
2017-02-22,18.8,72.8,297.3655,0
2017-02-23,19.05,72.8,298.75394,0
2017-02-23,18.8,72.8,298.69168,0
